Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNMoct2020;SSP1_oct2020;1;pload;Not specified;1510570372.51;1701295554.82;1735905302.63;1719644630.75;1783324352.06;1834366889.52;1823573860.97;1846214890.61;2073771043.14;2210849609.15;2370105220.31;2369800942.57;2489534663.82;2799496290.8;2831586718.83;2695918386.45;2591181316.67;2543018705.41;2797327903.67;2704637831.94;2606054821.19
IMAGE-GNMoct2020;SSP1_oct2020;2;pload;Not specified;830099859.212;894791928.495;861655615.702;951609292.932;1066230158.3;1105489965.17;1220680891.93;1346459216.45;1507955635.08;1683462732.04;1750058010.11;1737869749.18;1707038786.19;1698123958.27;1633180528.25;1402739648.66;1340703738.13;1325518364.91;1307434771.42;1230758391.55;1198642162.84
IMAGE-GNMoct2020;SSP1_oct2020;3;pload;Not specified;1055681005.26;1067532751.76;1092138316.57;1016333372.17;914635335.206;909372269.674;820536249.617;791996668.61;824512000.422;709401510.236;723747461.167;645073612.574;664507827.03;722708307.712;597166039.578;585237979.074;497664841.571;534440892.104;609141201.127;517884087.873;581092039.039
IMAGE-GNMoct2020;SSP1_oct2020;1;sro_nat;Not specified;103912165.794;104207428.611;98399669.0667;93583544.2726;93120250.4936;92719301.9823;90409582.6126;87743802.0945;90481769.1067;90789729.0006;90753276.7489;87429241.7987;87077986.8588;90186539.5292;90471006.3171;90022961.6477;88763876.7262;86869153.2805;89879672.8869;89699070.9484;88851546.8445
IMAGE-GNMoct2020;SSP1_oct2020;2;sro_nat;Not specified;106236256.1;107146044.927;99928808.1791;100000317.603;99098524.7282;95085007.2217;101976609.629;97827887.912;100547679.371;98722778.0694;97385803.0628;102907554.889;97136848.597;101513331.361;100807083.584;98266562.6958;102199264.579;98850370.4076;105251620.489;102090456.363;100226399.649
IMAGE-GNMoct2020;SSP1_oct2020;3;sro_nat;Not specified;62331639.8038;68679621.1776;68640939.7297;68149036.1688;66858304.1154;69063049.9246;67532070.1743;72793761.9574;72258880.27;68779749.9881;69021504.0442;65908396.7046;68827196.4567;70284489.7124;67486386.0264;67642947.6957;65290808.2224;70411213.58;69646211.3985;65329406.3718;67410618.9376
IMAGE-GNMoct2020;SSP1_oct2020;1;sro_agri;Not specified;703052126.552;848120670.849;929737168.39;886933769.926;931412500.935;960624046.65;912566320.925;947356607.039;1011721710.45;1041933473.26;1136723281.82;1071226946.07;1139139994.39;1215802540.77;1194893412.21;1174017418.62;1102944992.17;1121608431.94;1211862541.94;1184192482.08;1206557492.92
IMAGE-GNMoct2020;SSP1_oct2020;2;sro_agri;Not specified;367157693.933;375729392.762;402015445.572;475837433.008;534090168.48;551739956.336;553836183.081;597929003.866;642136393.9;700827648.97;714390601.299;671160409.598;664891578.79;684578110.447;706229659.095;629146378.93;593054337.836;611191616.101;624615360.901;613920577.285;603254062.178
IMAGE-GNMoct2020;SSP1_oct2020;3;sro_agri;Not specified;503987229.561;502607064.319;534987609.075;507026495.955;437184577.08;451941961.745;406098506.871;406127500.854;444868351.526;364474946.139;381037289.45;338826328.467;372191075.029;412969114.1;320936304.338;325386514.075;270952235.357;296555243.848;349920524.4;276489321.771;329710444.569
IMAGE-GNMoct2020;SSP1_oct2020;1;weathering;Not specified;426540120.542;437489676.433;383514870.039;385769574.57;384892421.428;371760096.267;377144326.62;340292350.927;424139165.181;454162025.749;442992985.539;456654620.649;443244203.661;569654657.632;569387980.644;467830110.478;447075802.086;412761036.099;527902394.259;514642114.506;459063424.102
