"Region","Item","Variable","Scenario","Model","Year","value"
"World","Coarse grains","Yield","Historical","FAO",1963,1.56294172145143
"World","Rice","Yield","Historical","FAO",1963,1.9764497861657
"World","Wheat","Yield","Historical","FAO",1963,1.17979304230001
"World","All cereals","Yield","Historical","FAO",1963,1.43901847984634
"World","Coarse grains","Yield","Historical","FAO",1964,1.61163551311307
"World","Rice","Yield","Historical","FAO",1964,2.01674692049507
"World","Wheat","Yield","Historical","FAO",1964,1.24209346750211
"World","All cereals","Yield","Historical","FAO",1964,1.48957394773071
"World","Coarse grains","Yield","Historical","FAO",1965,1.67483861195922
"World","Rice","Yield","Historical","FAO",1965,2.07143746976252
"World","Wheat","Yield","Historical","FAO",1965,1.26765541556435
"World","All cereals","Yield","Historical","FAO",1965,1.53398828214945
"World","Coarse grains","Yield","Historical","FAO",1966,1.7250182238169
"World","Rice","Yield","Historical","FAO",1966,2.10690238483069
"World","Wheat","Yield","Historical","FAO",1966,1.32895211179703
"World","All cereals","Yield","Historical","FAO",1966,1.58408879639289
"World","Coarse grains","Yield","Historical","FAO",1967,1.78408637653373
"World","Rice","Yield","Historical","FAO",1967,2.13714583271131
"World","Wheat","Yield","Historical","FAO",1967,1.36232667739036
"World","All cereals","Yield","Historical","FAO",1967,1.62580587475744
"World","Coarse grains","Yield","Historical","FAO",1968,1.82665445802229
"World","Rice","Yield","Historical","FAO",1968,2.20534275981913
"World","Wheat","Yield","Historical","FAO",1968,1.415544497746
"World","All cereals","Yield","Historical","FAO",1968,1.67774202858869
"World","Coarse grains","Yield","Historical","FAO",1969,1.89600372480912
"World","Rice","Yield","Historical","FAO",1969,2.26036659143519
"World","Wheat","Yield","Historical","FAO",1969,1.45604889911948
"World","All cereals","Yield","Historical","FAO",1969,1.73225218421147
"World","Coarse grains","Yield","Historical","FAO",1970,1.93549962803403
"World","Rice","Yield","Historical","FAO",1970,2.28912683265648
"World","Wheat","Yield","Historical","FAO",1970,1.50746395678698
"World","All cereals","Yield","Historical","FAO",1970,1.77192880822636
"World","Coarse grains","Yield","Historical","FAO",1971,1.9940704174512
"World","Rice","Yield","Historical","FAO",1971,2.33200331407207
"World","Wheat","Yield","Historical","FAO",1971,1.55293577829478
"World","All cereals","Yield","Historical","FAO",1971,1.81987454752996
"World","Coarse grains","Yield","Historical","FAO",1972,2.0277003541399
"World","Rice","Yield","Historical","FAO",1972,2.36551176848942
"World","Wheat","Yield","Historical","FAO",1972,1.59086385988414
"World","All cereals","Yield","Historical","FAO",1972,1.85545488322124
"World","Coarse grains","Yield","Historical","FAO",1973,2.08112404363813
"World","Rice","Yield","Historical","FAO",1973,2.3934292860515
"World","Wheat","Yield","Historical","FAO",1973,1.60349764056855
"World","All cereals","Yield","Historical","FAO",1973,1.88345271847284
"World","Coarse grains","Yield","Historical","FAO",1974,2.11227239664335
"World","Rice","Yield","Historical","FAO",1974,2.41132129672041
"World","Wheat","Yield","Historical","FAO",1974,1.6372480251983
"World","All cereals","Yield","Historical","FAO",1974,1.9104756773316
"World","Coarse grains","Yield","Historical","FAO",1975,2.15657995369347
"World","Rice","Yield","Historical","FAO",1975,2.45940957761842
"World","Wheat","Yield","Historical","FAO",1975,1.64916671754734
"World","All cereals","Yield","Historical","FAO",1975,1.94253593176047
"World","Coarse grains","Yield","Historical","FAO",1976,2.22542931954999
"World","Rice","Yield","Historical","FAO",1976,2.50539496399011
"World","Wheat","Yield","Historical","FAO",1976,1.69778952182424
"World","All cereals","Yield","Historical","FAO",1976,1.99583046599731
"World","Coarse grains","Yield","Historical","FAO",1977,2.31834747009601
"World","Rice","Yield","Historical","FAO",1977,2.55042060624304
"World","Wheat","Yield","Historical","FAO",1977,1.74444897275804
"World","All cereals","Yield","Historical","FAO",1977,2.05117817069774
"World","Coarse grains","Yield","Historical","FAO",1978,2.37241700112215
"World","Rice","Yield","Historical","FAO",1978,2.59596528058035
"World","Wheat","Yield","Historical","FAO",1978,1.79895269569553
"World","All cereals","Yield","Historical","FAO",1978,2.09941046796512
"World","Coarse grains","Yield","Historical","FAO",1979,2.44537208180456
"World","Rice","Yield","Historical","FAO",1979,2.66966063263367
"World","Wheat","Yield","Historical","FAO",1979,1.81683964838138
"World","All cereals","Yield","Historical","FAO",1979,2.14323111214735
"World","Coarse grains","Yield","Historical","FAO",1980,2.53085150322762
"World","Rice","Yield","Historical","FAO",1980,2.74953137880039
"World","Wheat","Yield","Historical","FAO",1980,1.88064984429098
"World","All cereals","Yield","Historical","FAO",1980,2.21093478410806
"World","Coarse grains","Yield","Historical","FAO",1981,2.50214511556084
"World","Rice","Yield","Historical","FAO",1981,2.83882432740998
"World","Wheat","Yield","Historical","FAO",1981,1.91755547746518
"World","All cereals","Yield","Historical","FAO",1981,2.2297273893088
"World","Coarse grains","Yield","Historical","FAO",1982,2.53808153075655
"World","Rice","Yield","Historical","FAO",1982,2.94989056159272
"World","Wheat","Yield","Historical","FAO",1982,1.98621990046715
"World","All cereals","Yield","Historical","FAO",1982,2.29220185666739
"World","Coarse grains","Yield","Historical","FAO",1983,2.61908184195954
"World","Rice","Yield","Historical","FAO",1983,3.05023178573566
"World","Wheat","Yield","Historical","FAO",1983,2.04769334753204
"World","All cereals","Yield","Historical","FAO",1983,2.36452219695436
"World","Coarse grains","Yield","Historical","FAO",1984,2.65193791432785
"World","Rice","Yield","Historical","FAO",1984,3.13284066330317
"World","Wheat","Yield","Historical","FAO",1984,2.13422181963571
"World","All cereals","Yield","Historical","FAO",1984,2.42569157386614
"World","Coarse grains","Yield","Historical","FAO",1985,2.6505730169557
"World","Rice","Yield","Historical","FAO",1985,3.18774089288485
"World","Wheat","Yield","Historical","FAO",1985,2.19104979408302
"World","All cereals","Yield","Historical","FAO",1985,2.45853646368289
"World","Coarse grains","Yield","Historical","FAO",1986,2.67491609744843
"World","Rice","Yield","Historical","FAO",1986,3.22546351200796
"World","Wheat","Yield","Historical","FAO",1986,2.22319672422175
