,Indicator,Database,n,Mean,Min,Q_25,Q_75,Max
1,Cropland,This study,11,1546.625898,1429.79691,1545.37084,1560,1600.953207
2,Cropland,IPCC AR6 v1.1,35,1571.595934,1458.0221,1550.3365,1584.605,1680.9228
3,Pasture,This study,11,3272.877498,3102.8,3253.59505,3314.360651,3378.63
4,Pasture,IPCC AR6 v1.1,31,3365.926237,3185.7966,3258.0963,3456.4159,3456.4159
5,Water,This study,6,2636.475323,2402.052388,2541.684226,2742.64,2889
6,Water,AQUASTAT (2015),1,2700,Inf,NA,NA,#NAME?
7,CH4,This study,9,145.9387287,138.2919355,141.4651442,150.4,154.69
8,CH4,IPCC AR6 v1.1,37,154.9072097,138.9364,148.3618319,165.8746351,168.2198646
9,N2O,This study,7,6689.293016,6180,6223.205233,6954,8022.019
10,N2O,IPCC AR6 v1.1,36,7017.854317,6404.437,6559.6721,7731.428148,8027.769896
11,CO2 LUC,This study,41,5460.709986,2983.858533,3765.120382,6249.066633,7161.578136
12,CO2 LUC,IPCC AR6 v1.1,41,5460.709986,2983.858533,3765.120382,6249.066633,7161.578136
13,Nfert,This study,8,102.6299396,100.4863712,100.757416,103.680475,106
14,Nfert,Springmann et al. (2018),1,103.7,Inf,NA,NA,#NAME?
15,Pfert,This study,6,18.00635854,17.35844497,17.84876872,18.22020357,18.76856406
16,Pfert,Springmann et al. (2018),1,17.8,Inf,NA,NA,#NAME?
