"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_feed_grass","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_CH4","rstand"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2",150.4,15.8749179,0.620061598843916,0.570048591470943,1.09453552032751,0.424676804851153,0.157894736842105,0,0.883687950952391
"5","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG2",150.4,15.8749179,0.582156186254833,0.570048591470943,1.09453552032751,0.424676804851153,0.842105263157895,0,1.15707426636415
"143","Clark et al. (2020)","2040","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 50%+Efficiency_Increased_020%+50% To Max Yields + 50% from BAU trends+Waste_Reduced_25%+Waste Slider 50%",122.489183017857,-12.0358990821429,-0.345361122236357,-0.242954796362737,-0.272940365422396,0.314731566392352,0.841441580942273,0.133333333,-2.569277127812
"194","Clark et al. (2020)","2050","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 50%+Medium_Fertility+Efficiency Slider 100%+Efficiency_Increased_040%+100% To Max Yields + 50% from BAU trends+Waste_Reduced_50%+Waste Slider 100%",122.489183017857,-12.0358990821429,-0.538090418705079,-0.184138225233253,0.0125762188013465,0.363681085501734,1.77302599770057,0.4,-1.07354711704555
"198","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)",138.291935546794,3.76685344679376,-0.0733133493244861,-0.0860224349576451,-0.0888663168409004,0.747332141530787,0,0,-2.26596031442052
"199","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Feed)",138.291935546794,3.76685344679376,0.496706658435078,0.359062458246616,0.355559516947015,0.548581554140418,0,0,2.60607720696967
"203","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)",138.291935546794,3.76685344679376,-0.285574929262986,-0.388612864299549,-0.390096450666181,0.557994025442972,0.5,0,-1.90083027234182
"249","FAO (2018)","2030","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.228879101279156,0.17385103379173,0.296376597372959,0.319993382227915,0.129291001218593,0,1.57752219370579
"252","FAO (2018)","2035","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.251551392389597,0.210707853505333,0.3146627432006,0.386546619755326,0.154291206812565,0,1.52208252213506
"253","FAO (2018)","2035","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,0.0272167194736292,0.277713586396539,0.123370813046155,0.345042248768398,0.0557824409914942,0,-1.48414314080533
"255","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.268158751130231,0.247860405414379,0.32212720611226,0.450344590837128,0.174689035581797,0,1.40598208794575
"256","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,0.0174605445282646,0.31093147633364,0.142959994815128,0.400857956896317,0.0871835930221656,0,-1.9245606592705
"259","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,-0.0184714646977988,0.346073922236565,0.190220794646497,0.501195824456554,0.145572189480513,0,-2.8529412839489
"263","FOLU (2019)","2030","GLOBIOM","Agriculture","TRANS_noCprice",123.85,-10.6750821,0.036546415894278,-0.15779825489118,0.0227427198591963,0.342055016471371,0.278787878787879,0,1.26558907854936
"293","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org",146.546553302067,12.0214712020672,0.178487534318603,0.0239918887809887,-0.917731423977575,0.610758680473217,0.346341463414634,0,2.49523034343553
"343","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","EL PD",150.4,15.8749179,0.181564399655444,1.30037485502688,-1,0.604997484325892,0,0.1,-0.889817006275597
"346","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","WR: EL PD",150.4,15.8749179,0.185022361123524,0.948138087553701,-1,0.516890153155653,0,0.1,1.23779980847504
"355","Roos et al. (2017) No pasture","2050","Roos et al. (2017) No pasture","Agriculture","YGR+WR EL PD",150.4,15.8749179,0.185022361123524,0.948138087553701,-1,0.516890153155653,0.678530729004408,0.1,2.01237178366223
"360","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Breakthrough technologies",109.997,-24.5280821,-0.420653000815464,0.0493392639490926,0.147916596435725,0.367246459060557,0.469922737306843,0.4034,-0.760427476397231
