"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Non_rum_dairy_kcal_GHG","All_plant_food","GHG_eff_CH4","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2",150.4,-4.59999999999999,0.620061598843916,0.642896570344756,0.653195799256373,0.424676804851153,0,1.84405347609083
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",150.4,-4.59999999999999,0.651049993895055,0.868373060797897,0.873124065103919,0.497699244953922,0,-1.08058787309842
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",150.4,-4.59999999999999,0.582156186254833,0.642896570344756,0.653195799256373,0.424676804851153,0,0.983857897476772
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3",150.4,-4.59999999999999,0.0792240420527004,0.0466656900388491,0.141332201325967,0.326936760584516,0,-1.13914322049308
"8","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",138.291935546794,-16.7080644532062,0.452531098937218,0.626171253207116,0.603291902534465,0.387307204693961,0,0.484304125911905
"9","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",138.291935546794,-16.7080644532062,-0.0733133493244861,-0.0847046423775345,-0.099310685233703,0.747332141530787,0,-1.50477909570758
"11","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",138.291935546794,-16.7080644532062,0.509148716427336,0.814845955652802,0.786924313476522,0.548581554140418,0,-1.60612473927302
"50","Doelman et al. (2018)",2050,"IMAGE 3.0","Agriculture","SSP3",145,-10,0.398544665263591,0.670397936490969,0.584183653431585,0.523119091798664,0,-1.15581973415264
"53","Doelman et al. (2018)",2050,"IMAGE 3.0","Agriculture","SSP1 20 (RCP1.9) + High REDD, full reforestation",145,-10,-0.63227918065445,-0.186690630941987,-0.119198832492316,0.303165657600792,0.43474433277089,-1.76884601033662
"57","Doelman et al. (2018)",2050,"IMAGE 3.0","Agriculture","SSP2 450 (RCP2.6) + Medium REDD, full reforestation",145,-10,-0.304652851149856,0.0624145510572782,0.275614336428381,0.412483503439874,0.418913043478261,1.63142903884778
"84","Doelman et al. (2022)",2045,"IMAGE 3.2","Agriculture","S4N_FOOD",141.46514415741,-13.5348558425903,-0.25037951573295,-0.317993605580492,-0.153893921834106,0.304703513437278,0,-1.79191273754576
"87","Doelman et al. (2022)",2045,"IMAGE 3.2","Agriculture","S4N_TOTAL",141.46514415741,-13.5348558425903,-0.487012958269615,-0.290772528243523,-0.12854585508687,0.331376075436879,0.212775805864401,-2.22878842752393
"100","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,-9.66000000000003,0.0272167194736292,0.179120163343328,0.17598650263867,0.345042248768398,0,-1.13538715129898
"103","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,-9.66000000000003,0.0174605445282646,0.207920681118149,0.200567217456377,0.400857956896317,0,-1.94487888418218
"104","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","BAU",145.34,-9.66000000000003,0.166323434934834,0.3788586758317,0.381858091647464,0.505229414450231,0,-1.42077113122041
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50_CCyes",146.546553302067,-8.45344669793283,0.206971906368521,0.0925467856098403,0.26286135408947,0.262992686984979,0,2.26293959825439
"190","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","BAU",154.69,-0.310000000000002,0.483152946513818,0.391421491506304,0.41885703447291,0.427591365963213,0,1.67583521888744
"191","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Incentive-based mitigation",154.69,-0.310000000000002,0.385199512452387,0.391421491506304,0.41885703447291,0.427591365963213,0.0933088763059255,1.81399129707283
"192","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Preference-based mitigation",154.69,-0.310000000000002,0.0875876325830032,-0.174971392512995,-0.205142101694551,0.342780333659578,0,1.00773383358479
"299","van Vuuren et al. (2021)",2065,"IMAGE 3.2","Agriculture","SSP3",141.314925193787,-13.6850748062133,0.487822904331944,0.863519032034099,0.521536365329013,0.720797843972981,0,-2.27270796508438
