"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat","rstand"
"6","AIM/CGE 2.0","ADVANCE_2020_1.5C-2100",2040,-1579.3129,-48.63752,14.77794,0.743920000000159,900.20205,"Yes",-0.841266036992122
"15","AIM/CGE 2.0","ADVANCE_2020_Med2C",2045,3272.3166,-2.31700000000001,6.05844000000002,4.71467999999991,156.86297,"Yes",1.63814531332841
"21","AIM/CGE 2.0","ADVANCE_2020_WB2C",2035,-319.6681,-3.31511999999993,4.19320000000021,34.2476000000003,420.40702,"Yes",-1.20737760594465
"22","AIM/CGE 2.0","ADVANCE_2020_WB2C",2040,-601.9183,-4.53204000000005,4.43861999999999,27.32108,429.36058,"Yes",-0.947737408111377
"23","AIM/CGE 2.0","ADVANCE_2020_WB2C",2045,-1627.7708,-3.09011999999993,0.64948000000004,17.99526,416.81288,"Yes",-1.08524920780488
"30","AIM/CGE 2.0","ADVANCE_2030_Med2C",2040,-518.5929,-2.47412000000004,9.61270000000004,38.75488,303.10907,"Yes",-1.37688396110003
"35","AIM/CGE 2.0","ADVANCE_2030_Price1.5C",2025,5276.296,-0.515459999999985,-0.10286000000001,8.16568000000002,50.31697,"Yes",1.33127917209369
"37","AIM/CGE 2.0","ADVANCE_2030_Price1.5C",2035,859.3812,11.0775000000001,22.01402,29.65056,538.69442,"Yes",-1.87026591872496
"39","AIM/CGE 2.0","ADVANCE_2030_Price1.5C",2045,-953.0798,-3.90243999999993,4.91122,34.2642600000001,1472.98129,"Yes",0.922955635294768
"40","AIM/CGE 2.0","ADVANCE_2030_Price1.5C",2050,-1223.7435,-6.56708000000008,-5.91592000000001,21.2013199999999,1690.35207,"Yes",2.27932300489063
"46","AIM/CGE 2.0","ADVANCE_2030_WB2C",2040,-519.1546,-2.48545999999997,9.72240000000002,38.8659000000002,305.31963,"Yes",-1.38033741147725
"47","AIM/CGE 2.0","ADVANCE_2030_WB2C",2045,-1699.3313,-4.56764000000003,12.8376,40.6418999999999,846.17786,"Yes",-1.07379216377519
"61","AIM/CGE 2.0","ADVANCE_Reference",2035,4917.6671,-1.21876000000002,1.38884000000003,5.85481999999997,10.87669,"Yes",1.93060699648873
"62","AIM/CGE 2.0","ADVANCE_Reference",2040,4699.8818,-1.12663999999995,6.10605999999998,3.3494200000001,10.86239,"Yes",1.916199406077
"63","AIM/CGE 2.0","ADVANCE_Reference",2045,4198.8234,-0.792500000000018,7.19888000000001,2.34636,10.88109,"Yes",1.96235368249863
"64","AIM/CGE 2.0","ADVANCE_Reference",2050,3648.231,-0.739459999999963,6.25554000000002,2.68226000000004,10.89682,"Yes",2.14161469133856
"69","AIM/CGE 2.1","CD-LINKS_INDC2030i_1600",2035,449.3802,-73.94666,-7.63452000000002,-29.37728,72.8668,"Yes",1.69193010548911
"72","AIM/CGE 2.1","CD-LINKS_INDC2030i_1600",2050,-2842.2223,9.97883999999994,2.34086000000002,14.4519399999999,123.4566,"Yes",-1.60371143880045
"85","AIM/CGE 2.1","CD-LINKS_NDC2030i_1000",2035,690.8608,-75.71198,-7.64530000000004,-30.67862,74.9275,"Yes",1.90962261474441
"103","AIM/CGE 2.1","CD-LINKS_NPi2020_1000",2045,-2094.8684,19.50588,6.94531999999999,19.0638,168.3926,"Yes",-2.03182406166384
"108","AIM/CGE 2.1","CD-LINKS_NPi2020_1600",2030,398.242,-67.07544,-10.11624,-14.5539399999999,82.3523,"Yes",1.31069543024149
"110","AIM/CGE 2.1","CD-LINKS_NPi2020_1600",2040,-1654.8574,7.59731999999994,5.04870000000001,16.2813599999999,95.5546,"Yes",-1.91014277568388
"111","AIM/CGE 2.1","CD-LINKS_NPi2020_1600",2045,-2819.5188,1.43306000000002,6.72527999999997,7.59527999999996,94.1112,"Yes",-2.32096445006613
"112","AIM/CGE 2.1","CD-LINKS_NPi2020_1600",2050,-3407.6031,-2.72151999999996,6.52698,3.16503999999995,98.8122,"Yes",-2.15860350239109
"118","AIM/CGE 2.1","CD-LINKS_NPi2020_400",2040,-3282.1946,-22.25174,11.76406,14.8462400000001,338.1782,"Yes",-2.47067871046266
"134","AIM/CGE 2.1","CO_2Deg2020",2040,-2110.4953,-2.78028000000004,3.68086000000003,13.99314,96.493664047033,"Yes",-1.90084914016251
"135","AIM/CGE 2.1","CO_2Deg2020",2045,-1567.0822,-2.80917999999992,15.65104,9.99878000000003,106.491840383032,"Yes",-1.86758803137905
"143","AIM/CGE 2.1","CO_2Deg2030",2045,-1911.2152,-6.15798000000004,15.85914,37.3020000000002,185.191123465062,"Yes",-1.62200940424393
"151","AIM/CGE 2.1","CO_Bridge",2045,-2067.681,-3.05836000000018,10.08366,16.3840399999999,96.9980856149994,"Yes",-1.77531704764728
