"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat","rstand"
"7","IMAGE 3.0","CO_2Deg2020",2045,3759.80072999405,16.40624,-0.736840000000029,754.573036431064,"Yes",1.61594279164721
"15","IMAGE 3.0","CO_2Deg2030",2045,3604.85428604473,20.01016,-0.792799999999988,754.573036431064,"Yes",1.11961231587291
"16","IMAGE 3.0","CO_2Deg2030",2050,3706.46452440737,10.47464,-0.789879999999994,882.075346372132,"Yes",2.81629936284185
"17","IMAGE 3.0","CO_BAU",2015,2464.5068945741,5.75372000000002,6.12664000000004,0,"No",-2.6375524521775
"23","IMAGE 3.0","CO_BAU",2045,3946.97605854392,8.19667999999997,2.16539999999995,0,"No",1.86641448537375
"24","IMAGE 3.0","CO_BAU",2050,3185.82338372026,1.92140000000004,2.48184000000028,0,"No",2.40515864487965
"30","IMAGE 3.0","CO_Bridge",2040,1086.03781719942,17.24064,-1.33040000000001,627.070800247543,"Yes",-1.2357606736833
"32","IMAGE 3.0","CO_Bridge",2050,2967.76041415491,11.00964,-0.98732,882.075346372132,"Yes",2.17199688840887
"33","IMAGE 3.0","CO_CurPol",2015,3102.12553320714,7.95754000000002,2.47124000000003,0,"No",-2.04543378626823
"49","IMAGE 3.0","CO_NDCplus",2015,3102.09843296198,7.95754000000002,2.47124000000003,0,"No",-2.04545597822902
"56","IMAGE 3.0","CO_NDCplus",2050,2036.33023320272,1.00652,1.07707999999975,0,"No",1.67359350931454
"64","IMAGE 3.0","EN_INDCi2030_1000",2050,2038.98171353995,31.82732,-0.814239999999791,703.896070349226,"Yes",-0.885430985170947
"80","IMAGE 3.0","EN_INDCi2030_1200",2050,396.190176443513,20.7463199999998,-0.889759999999751,209.051437409757,"Yes",-1.41398465404504
"96","IMAGE 3.0","EN_INDCi2030_1400",2050,336.124286086122,17.97164,-0.946079999999711,78.8519154193726,"Yes",-1.2599280757659
"151","IMAGE 3.0","EN_NPi2020_1000f",2045,473.258684121876,18.4748,-0.817479999999796,150.796584148599,"Yes",-1.69764294241178
"152","IMAGE 3.0","EN_NPi2020_1000f",2050,4276.66450082398,25.20572,-0.868119999999999,121.317877984366,"Yes",1.2389163649343
"168","IMAGE 3.0","EN_NPi2020_1200f",2050,392.58540673646,19.27736,-0.911839999999938,91.8300258843993,"Yes",-1.34309718340404
"208","IMAGE 3.0","EN_NPi2020_600f",2050,5725.45786750709,28.44876,-0.977239999999983,855.61305647795,"Yes",2.60139729499727
"233","IMAGE 3.0","EN_NoPolicy",2015,2464.5068945741,5.75372000000002,6.12664000000004,0,"No",-2.6375524521775
"239","IMAGE 3.0","EN_NoPolicy",2045,3946.97605854392,8.19667999999997,2.16539999999995,0,"No",1.86641448537375
"240","IMAGE 3.0","EN_NoPolicy",2050,3185.82338372026,1.92140000000004,2.48184000000028,0,"No",2.40515864487965
"247","IMAGE 3.0.1","ADVANCE_2020_1.5C-2100",2045,1228.25331997116,26.48184,-1.18015999999998,0,"No",-2.04119298731449
"248","IMAGE 3.0.1","ADVANCE_2020_1.5C-2100",2050,1948.0451471391,27.89164,-0.824639999999999,0,"No",-1.09048897219487
"249","IMAGE 3.0.1","ADVANCE_2020_Med2C",2015,3152.46727097878,6.27921999999999,2.24224000000004,0,"No",-1.86832705922698
"256","IMAGE 3.0.1","ADVANCE_2020_Med2C",2050,2696.42819737072,4.85140000000001,1.35011999999997,0,"No",1.73579040629242
"257","IMAGE 3.0.1","ADVANCE_2020_WB2C",2015,3155.61472404875,5.38488000000002,0.555960000000232,0,"No",-1.63514054952655
