"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.207639364778245,0.388085598611914,1.89974667367038,0.358299325104349,1.612730228402,0.0263609148281851,0.157894736842105,0,-1.70527471181084
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,"No",0.154150679827258,0.388085598611914,0.960492059583601,-0.215788577538274,1.65679413106355,-0.0440526420622381,0.105263157894737,0,-1.24602838466158
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0500104205746612,0.388085598611914,2.29771737674705,0.533446310935098,1.96937418518039,0.0789674977188881,0.894736842105263,0,1.90122703507985
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2","Agriculture",1560,41,"No",-0.0940289496482763,0.388085598611914,1.89974667367038,0.358299325104349,1.612730228402,0.0263609148281851,0.842105263157895,0,0.757316134196656
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.129875081421412,0.388085598611914,0.960492059583601,-0.215788577538274,1.65679413106355,-0.0440526420622381,0.815789473684211,0,1.64716110784783
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0500104205746612,0.388085598611914,2.29771737674705,0.550444715740083,1.96937418518039,0.0789674977188881,0.894736842105263,0,1.87752432538536
"12","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,16.3699999999999,"No",0.14698204977839,0.426470588235294,-0.438062880056014,-0.179063288306711,0.0124540782778586,0.136556213104808,0.437185929648241,0,0.936243778863647
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,0.426470588235294,-0.354268371501812,-0.244861674827361,-0.129457952934751,0.0268321831565119,0.231155778894472,0,-1.94663752066176
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,0.426470588235294,-0.354828733809528,-0.245496385249155,-0.130189662731615,0.0269728147278623,0.153266331658291,0,-1.8253001765732
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.308603175796555,0.426470588235294,-0.41556725190293,-0.272412592943995,-0.160834373358451,-0.0943165946414328,-0.0226130653266331,0,0.843088796847254
"156","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.380364631728159,0.424375917767988,0.141672807663965,0.135932922595281,0.0729927007299269,-0.0260245294880546,0,0,1.3835965693485
"157","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.211711154676902,0.424375917767988,-0.357406042741341,-0.362461401001384,-0.394160583941606,0.226735245755119,0,0,-1.42508933188237
"159","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.0969883215292513,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0.5,0,1.28948627564412
"160","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.345778755573821,0.424375917767988,-0.570145541635962,-0.572637993187096,-0.594890510948905,0.0938081766254266,0.5,0,-1.99399382266813
"201","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","Agriculture",1536.18946,17.1894600000001,"No",0.119139066550681,0.397415283990603,-1,-0.713243181230174,0.806818181818183,-0.110470848122358,0,0,-1.32563858503303
"248","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0297160141401227,0.197830069043258,-0.0544849093908887,-0.0723470930049581,-0.0204317549282622,0.0740808465594365,0.0319311080219222,0,-1.3586859609705
"251","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0164010193908189,0.245455826405524,-0.0676039174551486,-0.101437894499942,-0.0265856826021429,0.0799598189285349,0.0557824409914942,0,-1.38430596831381
"254","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.00964489886749943,0.290263491616176,-0.0780356602060841,-0.118779982346073,-0.0349146214065388,0.0857146358079242,0.0871835930221656,0,-1.41161489672077
"257","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",0.00124243970314326,0.370297308721995,-0.0946300723516549,-0.134911245710827,-0.0603783940652788,0.0955256314825872,0.145572189480513,0,-1.46486688801008
"266","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",1549,30,"No",0.334323512950918,0.393232415902141,0,-0.0472422777582807,0,0,0,0,-1.39411947263838
"267","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",1549,30,"No",0.084465847368406,0.393232415902141,-0.183246635510992,-0.283690861014425,-0.137365788473763,0,0.5659,0,1.09511161660771
"268","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,"No",0.226300640596589,0.393232415902141,0.0440633587434316,-0.106099259832005,0.102713268670223,0.0472894839044697,0.4829,0,1.18772976660056
"269","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org","Agriculture",1354.61,-164.39,"No",0.0220926823935463,0.369906431404335,-1,-1,-1,0.239108803807052,0.0951219512195123,0,-2.32274588988544
"275","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",-0.0960929991755076,0.369906431404335,-1,-1,-1,0.0897252866104261,0.102439024390244,0,-2.45218993309158
"294","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org","Agriculture",1354.61,-164.39,"No",0.209507621673347,0.369906431404335,-0.664006985706827,-0.954644714056145,-0.656856166004131,0.175816569327277,0.346341463414634,0,2.14637105467041
"300","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",0.0955443694070415,0.369906431404335,-0.666392678478789,-0.789164281199122,-0.642997676139899,0.0282500540774391,0.363414634146342,0,1.89685078121067
"321","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",0.306322631274579,0.369906431404335,-0.094545997046927,0.0708841969427114,-0.00202544589306441,-0.0798615617564352,0.150536425853659,0,1.58801196416563
