"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed","Dairy_crop_feed","Mon_feed","Plant_food","C_price","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.207639364778245,2.47621978861584,2.13214412995245,0.628330859265952,0.230402695098723,0,-1.6455278291191
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,"No",0.154150679827258,1.46215643275805,2.33663313163397,-0.0151190926697314,0.200561831005038,0,-1.08333791077222
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0500104205746612,1.41591016611506,1.17536570342886,0.123403890794944,-0.209547620718763,0,1.65629067800542
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.129875081421412,0.498703915591859,1.03099408012502,-0.400507273798967,-0.269223233301281,0,1.08585186725452
"7","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1-HP","Agriculture",1560,41,"No",0.483533481477983,3.29349252347622,2.86600317946324,1.01861531313508,0.404771347961763,0,-1.11104556546147
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0500104205746612,1.41591016611506,1.17536570342886,0.135856934608119,-0.209547620718763,0,1.6395533802847
"12","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,16.3699999999999,"No",0.14698204977839,-0.442252559323387,0.00490544390155812,-0.185184011424539,0.128082300573946,0,0.873691643596146
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,-0.251827273415335,0.00864784720891332,-0.125063920119601,0.189732390844547,0,-1.81923820425977
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,-0.201990199200649,0.0758649839992076,-0.0667574474217884,0.270258634031265,0,-1.82666153797123
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.308603175796555,-0.147035737447622,0.224740215564934,0.0618947314684763,0.321821168428581,0,0.585370393200295
