"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","C_price","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,0.207639364778245,3.02509659734465,2.62669320310284,0.885435731781629,0.424676804851153,0.157894736842105,0,-1.56185168934305
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,0.154150679827258,1.72133079410101,2.68785767180596,0.0885525817860862,0.326936760584516,0.105263157894737,0,-0.96831707641321
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,0.0500104205746612,3.57751399895485,3.12174554333888,1.12855474045358,0.497699244953922,0.894736842105263,0,1.62110169825278
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,-0.129875081421412,1.72133079410101,2.68785767180596,0.0885525817860862,0.326936760584516,0.815789473684211,0,1.57028173635312
"7","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1-HP","Agriculture",1560,41,0.483533481477983,4.19738568631332,3.67989858566602,1.44358695800562,0.700512684374766,0.210526315789474,0,-0.862293350390655
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,0.0500104205746612,3.57751399895485,3.12174554333888,1.15214998136275,0.497699244953922,0.894736842105263,0,1.59844310113086
"12","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,16.3699999999999,0.14698204977839,-0.198413225962255,0.444235964602239,0.171042074033074,0.621264009870093,0.437185929648241,0,0.761529655748141
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,-0.0372361917637322,-0.0788828240540551,0.241802625960722,0.0771826109080296,0.464745908326201,0.231155778894472,0,-1.87408803017475
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,0.0320464242341258,-0.0796821644047685,0.240758863456372,0.0762772151592941,0.464946515126509,0.153266331658291,0,-1.73418713786309
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,0.308603175796555,-0.166323874038002,0.197045085062209,0.0378820365357722,0.291930739996779,-0.0226130653266331,0,0.949376486286278
"158","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","Agriculture",1429.7969100368,-89.2030899631961,0.511562252565196,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0,1.07218898305451
"160","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,0.211711154676902,-0.0847046423775345,-0.137056925731803,-0.0919053729388294,0.747332141530787,0,0,-1.97407340824956
"161","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)","Agriculture",1429.7969100368,-89.2030899631961,0.309114911114567,0.361134466739601,0.278819254638413,0.352233996946312,0.548581554140418,0,0,-0.457420348294253
"163","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","Agriculture",1429.7969100368,-89.2030899631961,0.51156224750009,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0,1.07218892756629
"164","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","Agriculture",1429.7969100368,-89.2030899631961,0.51156224750009,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0,1.07218892756629
"254","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,-0.0297160141401227,0.132566406265754,0.173356298626862,0.11117054563405,0.28656633459233,0.0319311080219222,0,-1.31670766164362
"257","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,-0.0164010193908189,0.161258133523171,0.212344533109717,0.119119409682261,0.345042248768398,0.0557824409914942,0,-1.34048876661471
"260","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,-0.00964489886749943,0.1895769282081,0.245214430291718,0.137006016860224,0.400857956896317,0.0871835930221656,0,-1.36830971301547
"263","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,0.00124243970314326,0.240625975254355,0.287560957829387,0.185428791808117,0.501195824456554,0.145572189480513,0,-1.42641279479002
