"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"13","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,16.3699999999999,"No",0.339214205819281,0.662050917233198,0.600051336654963,0.725487154949798,0.521019659277793,0.457286432160804,2.35250620219238
"16","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,-0.0788828240540551,0.241802625960722,0.0771826109080296,0.464745908326201,0.231155778894472,-2.04617566733168
"17","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,-0.0796821644047685,0.240758863456372,0.0762772151592941,0.464946515126509,0.153266331658291,-1.64288725643197
"19","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.308603175796555,-0.166323874038002,0.197045085062209,0.0378820365357722,0.291930739996779,-0.0226130653266331,1.77081294235286
"158","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","BAU","Agriculture",1429.7969100368,-89.2030899631961,"No",0.511562252565196,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0.975295321431089
"160","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.211711154676902,-0.0847046423775345,-0.137056925731803,-0.0919053729388294,0.747332141530787,0,-2.29145714016715
"162","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.0969883215292513,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0.5,1.17926535308395
"163","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Volat)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.51156224750009,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0.975295261188746
"164","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Loss)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.51156224750009,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0.975295261188746
"165","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.345778755573821,-0.387725661361061,-0.422971799736326,-0.391275849326701,0.557994025442972,0.5,-2.20809302684083
"263","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",0.00124243970314326,0.240625975254355,0.287560957829387,0.185428791808117,0.501195824456554,0.145572189480513,-1.39732754991965
"274","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,"No",0.226300640596589,0.454622915657015,0.53633587135676,0.245411487800968,0.45911765780913,0.4829,0.696898369920941
"275","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org","Agriculture",1354.61,-164.39,"No",0.0220926823935463,-1,-1,-1,0.697463119545012,0.0951219512195123,-1.95596083785921
"277","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_80Org","Agriculture",1354.61,-164.39,"No",-0.0286356416228227,-1,-1,-1,0.697581649195145,0.134146341463415,-2.42152982423442
"281","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",-0.0960929991755076,-1,-1,-1,0.492821678591555,0.102439024390244,-2.15424075688643
"310","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_20Org_W50","Agriculture",1354.61,-164.39,"No",-0.144793366482853,-0.524834567793478,-0.487033164857956,-0.725700496259825,0.417259026632199,0.270731707317073,-2.28610075579106
"323","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,"No",0.341923343046054,0.364103073114663,0.424654868077524,0.50678033024167,0.462300293682482,0.373170731707317,1.78945154092008
"329","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",0.231235570180814,0.131811611968909,0.239862580668044,0.300231628307658,0.266489311663882,0.391242917560976,2.00387448782336
"337","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","ART PD + PASTURE","Agriculture",1560,41,"No",0.196505369177256,-1,5.70716097980401,-1,0.500065574761508,0,-1.86890494509485
"340","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","PBE HD + PASTURE","Agriculture",1560,41,"No",0.389715421005968,-1,-1,-1,0.630445796673,0.0431856224990232,2.44446341490727
"344","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: INT HD + PASTURE","Agriculture",1560,41,"No",0.376435967396081,4.76652418848211,0.777644537026089,-0.206968848625858,0.322208277512408,0.0431856224990232,1.2070796467172
"350","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: ART HD + PASTURE","Agriculture",1560,41,"No",0.0351589565290398,-1,4.84288038286848,-1,0.322208277512408,0.0431856224990232,-2.16021418274514
"356","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: INT HD + PASTURE","Agriculture",1560,41,"No",0.150460732130204,5.06075967262456,0.913270174763233,-0.125156785938348,0.407516292302009,0.719233370307219,2.2102363098761
"360","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,41,"No",0.218091889018028,0.867019998954835,5.33397240791341,0.355592488453775,0.407516292302009,0.719233370307219,1.88924541904137
"364","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: PBE HD + PASTURE","Agriculture",1560,41,"No",-0.0325025370654442,-1,-1,-1,0.630445796673,0.719233370307219,1.81105221040041
"366","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: EL HD + PASTURE","Agriculture",1560,41,"No",-0.0300949029265998,-1,-1,-0.869484704518807,0.508177346167992,0.719233370307219,2.41160326903626
"367","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR INT PD + PASTURE","Agriculture",1560,41,"No",0.0322706603151197,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0.678530729004408,-1.79080633799317
"373","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR PBE PD + PASTURE","Agriculture",1560,41,"No",-0.260121700573703,-1,-1,-1,0.724477264664653,0.678530729004408,-1.70321502180362
"375","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR EL PD + PASTURE","Agriculture",1560,41,"No",-0.343976792015909,-1,-1,-0.480550132948666,0.516890153155653,0.678530729004408,-2.03525818836581
"377","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","No productivity gains after 2010","Agriculture",1547,28,"No",0.524181414947546,0.862967953743292,0.674696740582215,0.694912594451136,0.531476173363463,0,1.65853785207796
"379","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",1547,28,"No",0.00258231260347269,0.840774529926113,1.3379885907284,0.340176850442403,0.465189716072132,0.245996751353849,-1.04774657948729
"380","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,0.289362852995884,1.18084540767987,0.298229218915637,0.410726361727217,0.318432671081678,-1.1205959179776
"578","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.298972816044492,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.539325842696629,-1.94463736678667
"581","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.400787076486688,-1,-1,6.75771472876453,0.799382722110702,0.539325842696629,-1.89973929298568
"583","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.471779648335861,-1,-1,6.75771472876453,0.799382722110702,0.411985018726592,-1.77667433277051
"586","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.291859889630838,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.411985018726592,1.40042358049879
"598","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.397641263846321,1.47527016968336,3.85104399002227,1.16738323825382,0.340853703311647,0.119850187265918,1.6773110267861
"600","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.204406511599638,-1,-1,4.44480990079633,0.340853703311647,0.771535580524345,2.10079675819392
"602","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+mono (0.7+G+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.510853300323777,-1,-1,4.44480990079633,0.340853703311647,0.119850187265918,2.05423287818913
"604","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-VEGET+rumi (0.7+G+YGC+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.29449457660189,-1,4.68538982570672,-1,0.544222259855059,0.771535580524345,-1.52766502781493
"605","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.203175617410885,-1,4.68538982570672,-1,0.544222259855059,0.411985018726592,-2.47814391034567
"606","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0177365658078539,-1,4.68538982570672,-1,0.544222259855059,0.119850187265918,-1.50543211597874
"607","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.229770295381375,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.539325842696629,-2.23529096689731
"630","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.110676914340907,-1,-1,3.04745665239685,0.340853703311647,0.771535580524345,2.4201474936142
"633","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.357327819698622,-1,1.0848067657735,-1,0.544222259855059,0.539325842696629,-2.2547695764035
"648","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,0.190277767367607,0.358679010535867,0.604468995418251,0.430919333797198,0.585489283015361,-2.38238848200375
"649","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.279361848515603,-0.593590721889878,0.635664539789347,-0.0771070394863398,0.0488685449082171,0.585489283015361,-2.32532940195295
"651","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Veg - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.263207796782322,-1,0.60641959663753,-0.693741863663287,0.148307418555592,0.585489283015361,-1.96589787916765
"652","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.416279243897113,1.06330058851351,1.15247013621323,1.08879137713706,0.498344852143663,0.585489283015361,1.5670633946329
"653","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med - high yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.144034222744699,-0.295505195769159,1.59128097766885,0.164883580537116,0.0982916700609604,0.585489283015361,1.750610321695
