"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,0.207639364778245,3.02509659734465,2.62669320310284,0.885435731781629,0.424676804851153,0.157894736842105,-1.53575217407919
"3","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,0.154150679827258,1.72133079410101,2.68785767180596,0.0885525817860862,0.326936760584516,0.105263157894737,-0.866332142807148
"4","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,0.0500104205746612,3.57751399895485,3.12174554333888,1.12855474045358,0.497699244953922,0.894736842105263,1.53388179793692
"6","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,-0.129875081421412,1.72133079410101,2.68785767180596,0.0885525817860862,0.326936760584516,0.815789473684211,1.56988831532856
"7","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT1-HP","Agriculture",1560,41,0.483533481477983,4.19738568631332,3.67989858566602,1.44358695800562,0.700512684374766,0.210526315789474,-0.88273010891466
"9","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT1 - DY","Agriculture",1560,41,0.137529798591218,3.57751399895485,3.12174554333888,1.15214998136275,0.497699244953922,0.467558142276272,-0.904263916851393
"10","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT1 - IT","Agriculture",1560,41,0.325422400434628,3.57751399895485,3.12174554333888,1.15214998136275,0.497699244953922,0.210526315789474,-0.814605839587179
"11","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,0.0500104205746612,3.57751399895485,3.12174554333888,1.15214998136275,0.497699244953922,0.894736842105263,1.50965297958797
"12","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,16.3699999999999,0.14698204977839,-0.198413225962255,0.444235964602239,0.171042074033074,0.621264009870093,0.437185929648241,0.746549556212494
"16","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,-0.0372361917637322,-0.0788828240540551,0.241802625960722,0.0771826109080296,0.464745908326201,0.231155778894472,-1.93502320614964
"17","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,0.0320464242341258,-0.0796821644047685,0.240758863456372,0.0762772151592941,0.464946515126509,0.153266331658291,-1.7667042819704
"18","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_AE","Agriculture",1535.37,16.3699999999999,0.166023985374279,-0.264911075035096,0.111754775762982,0.0388620974966061,0.293027030257002,0.07286432160804,0.264266766846093
"19","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,0.308603175796555,-0.166323874038002,0.197045085062209,0.0378820365357722,0.291930739996779,-0.0226130653266331,1.07545826291824
"160","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","BAU","Agriculture",1429.7969100368,-89.2030899631961,0.511562252565196,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,1.14186840722797
