"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","All_crop_feed","All_plant_food","Yield","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,35,0.207639364778245,1.16021512048005,0.424676804851153,0.157894736842105,-2.2202123992405
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,35,0.154150679827258,0.615498124247747,0.326936760584516,0.105263157894737,-1.83148834766102
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,35,0.0500104205746612,1.44365228808232,0.497699244953922,0.894736842105263,2.37853543357663
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2","Agriculture",1560,35,-0.0940289496482763,1.16021512048005,0.424676804851153,0.842105263157895,0.922072072842059
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,35,-0.129875081421412,0.615498124247747,0.326936760584516,0.815789473684211,1.82030957243919
"7","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1-HP","Agriculture",1560,35,0.483533481477983,1.7745635354268,0.700512684374766,0.210526315789474,-0.980947953364336
"9","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1 - SY","Agriculture",1560,35,0.693147180559945,1.44365228808232,0.497699244953922,0,1.57381562983897
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1 - IT","Agriculture",1560,35,0.325422400434628,1.44365228808232,0.497699244953922,0.210526315789474,-1.11268486332614
"12","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,35,0.0500104205746612,1.44365228808232,0.497699244953922,0.894736842105263,2.37853543357663
"13","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,10.3699999999999,0.14698204977839,0.189720151114212,0.621264009870093,0.437185929648241,1.22255009044952
