"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","N2O","Rum_feed_grass","Rum_feed_water","Mon_feed_water","Plant_kcal_GHG","Yield","GHG_eff_N2O","Organic","rstand"
"20","Chang et al. (2021)","2030","GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.0448255516002163,0.0514428584842481,0.254670233174429,0.242328417314478,0.261093226319758,0.31055900621118,0,0,-2.01938940494863
"33","Chang et al. (2021)","2050","GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.2710109800892,0.328209175159869,0.412111307622712,0.833506642228541,0.595923305941896,0.483578260869565,0.44557201998217,0,-1.54424327980064
"39","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)",8.022019,0.828424500000001,0.650922430632093,0.812083277662155,0.808572323263699,0.802978662595083,0.548581554140418,0.5,0,0,0.843979439825773
"41","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Loss)",8.022019,0.828424500000001,0.0531028896380321,0.812083277662155,0.808572323263699,0.802978662595083,0.548581554140418,0,0.394819002090639,0,-0.874414568548864
"101","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.51238519232097,0.0158326919998604,-1,-1,0.492821678591555,0.102439024390244,0,1,-2.45818691419015
"113","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.529148152910489,-0.0196855523596894,-1,-1,0.492999473066754,0.131707317073171,0,1,-2.7057470668108
"114","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.229198986657631,-0.088724068164984,-1,-1,0.501829932001612,0.331707317073171,0,0,-2.00482618013188
"119","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_0Org",5.02397601469034,-2.16961848530966,0.14174225582121,0.1018080793062,-0.498710354341534,-0.929293048975946,0.615736925778775,0.0902439024390245,0,0,2.77268039695221
"126","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.320206315788256,0.0390285890713276,-0.524843960626133,-0.711174792844922,0.408606362172539,0.363414634146342,0,1,-1.48691578359783
"138","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.335045846249027,0.123560683788943,-0.486382348824931,-0.638520560175676,0.40813224357201,0.336585365853659,0,1,-1.92932142876218
"166","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","No productivity gains after 2010",5.123,-2.0705945,0.439256674079077,0.855411247997623,0.843507370917693,0.694912594451136,0.531476173363463,0,0,0,-0.704472267276784
"168","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Coordinated effort",5.123,-2.0705945,0.220054655190442,0.339837559369927,0.892168873489495,0.340176850442403,0.465189716072132,0.245996751353849,0.2333,0,0.859598671689699
"256","Stehfest et al. (2009)","2045","IMAGE 2.4","Agriculture","Reference - 450ppm",4.057,-3.1365945,-0.00866449287384993,0.428975024076376,1.49383779525113,0.616228594840146,0.681128128012489,0.514977230127854,0.236812144212524,0,-2.15683435912131
"261","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","Reference",4.057,-3.1365945,0.274781868747793,0.452607212603211,1.67462559607215,0.653454461512162,0.73743862694279,0.588921282798834,0,0,-2.12390684611295
"266","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","Reference - 450ppm",4.057,-3.1365945,-0.0221815948016839,0.452607212603211,1.67462559607215,0.653454461512162,0.737232108622697,0.588018301009166,0.256928838951311,0,-2.59212203460001
"285","Stevanovic et al. (2017)","2050","MAgPIE 3","Agriculture","Preference-based mitigation",7.351,0.1574055,-0.141041498244443,-0.218082649913788,0.349245295067338,-0.301357020076164,0.342780333659578,0.175086918577251,0,0,-1.82594244617587
"287","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)",5.76,-1.4335945,0.384970836760799,0.25258367915857,3.97903589261228,2.32048285989599,0.799382722110702,0.539325842696629,-0.0248432156822902,0,-2.51568749029868
"288","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+bau (0.7+G+YGC+RICH+bau)",5.76,-1.4335945,0.236305084504299,0.25258367915857,3.97903589261228,2.32048285989599,0.799382722110702,0.771535580524345,0.0828418749143507,0,-2.0633786765995
