"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","N2O","Rum_feed_grass","All_crop_feed","All_plant_food","Yield","GHG_eff_N2O","rstand"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",6.18,-0.838,0.144394504881894,0.240252772884584,0.615498124247747,0.326936760584516,0.105263157894737,0,-1.22389588003331
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3",6.18,-0.838,0.251853657196641,0.240252772884584,0.615498124247747,0.326936760584516,0.815789473684211,0,-0.732378404496831
"20","Chang et al. (2021)",2030,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.681554501509433,-0.0448255516002163,0.124492178123759,0.251790369308919,0.261093226319758,0.31055900621118,0,-1.82778860624902
"33","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",6.33644549849057,-0.681554501509433,-0.2710109800892,0.425112736102232,0.780315568743727,0.595923305941896,0.483578260869565,0.44557201998217,-0.913461947551792
"37","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",8.022019,1.004019,0.263497070235448,-0.0950371310483376,-0.0980362480850276,0.747332141530787,0,0,1.61805575062786
"39","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",8.022019,1.004019,0.650922430632093,0.793184474574322,0.789686253966565,0.548581554140418,0.5,0,-1.00200277088954
"42","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",8.022019,1.004019,-0.264656850107061,-0.394682002175989,-0.395660230181961,0.557994025442972,0.5,0.423667725816725,1.25858789618955
"124","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50",5.02397601469034,-1.99402398530966,-0.203774521282256,0.00149172883711102,-1,0.501533607876281,0.292682926829268,0,-1.46350274254182
"126","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes",5.02397601469034,-1.99402398530966,-0.229198986657631,-0.0319357644104697,-1,0.501829932001612,0.331707317073171,0,-1.79427624705576
"131","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org",5.02397601469034,-1.99402398530966,0.339064531472127,0.471363425023196,0.477517435220025,0.474093993870648,0.326829268292683,0,1.1088474182726
"132","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50",5.02397601469034,-1.99402398530966,0.339064531472127,0.471363425023196,0.477517435220025,0.474093993870648,0.327190791219512,0,1.10818685903581
"133","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes",5.02397601469034,-1.99402398530966,0.339064531472127,0.471363425023196,0.477517435220025,0.474093993870648,0.327190791219512,0,1.10818685903581
"144","Stevanovic et al. (2017)",2040,"MAgPIE 3","Agriculture","Preference-based mitigation",7.351,0.333,-0.0672356662524825,-0.156129322033663,0.303668649868844,0.294233316849987,0.156563384316744,0,-1.4708517459239
"146","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","BAU",7.351,0.333,0.243423524045537,0.295234633494173,1.56101753522901,0.427591365963213,0.331768445090296,0,-1.43069743548568
"147","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Incentive-based mitigation",7.351,0.333,0.181051081556138,0.295234633494173,1.56101753522901,0.427591365963213,0.596460913526497,0.0604671003519247,0.599046854861439
