"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold","rstand"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",106,2.31999999999999,0.164874643190234,2.33350639800624,0.0885525817860862,0.326936760584516,0.105263157894737,0.201201201201201,0,1.4468125068553
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",106,2.31999999999999,0.583584978048419,3.28884087874098,1.12855474045358,0.497699244953922,0.894736842105263,-0.0465465465465465,0,-0.77046500768461
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",106,2.31999999999999,0.417965270872396,2.77275717037806,0.885435731781629,0.424676804851153,0.842105263157895,-0.0795795795795795,0,-2.0291333571625
"61","Beusen et al. (2022)",2070,"IMAGE-GNM","Agriculture","SSP5",100.4863712,-3.19362880000001,0.618768493498159,1.29684177695031,0.550306293408167,0.451114211642093,0.691734938307126,0.0482141529279474,0.118217330373148,1.7834925673317
"107","Bodirsky et al. (2014)",2030,"MAgPIE 2","Agriculture","SSP2-All measures",76.85723,-26.82277,-0.388220455908367,0.933501423637511,0.408039246300875,0.532887166077572,0.498155577123704,0.352766742188735,0.0834646834150526,-2.44084905909838
"112","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-REF",76.85723,-26.82277,0.410755772027245,2.47764688594239,1.51840909782124,0.679506551925979,0.772793929609467,0.0400653353706728,0,-1.49351495808034
"114","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Waste",76.85723,-26.82277,0.139763249145088,2.07269679921779,1.02210372377492,0.500790711790391,0.696159403138266,0.104391169186996,0.0615255056250087,-1.81476439144381
"119","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP1-All measures",76.85723,-26.82277,-0.393917323849344,0.417877146896912,-0.357946280935509,0.540848999744142,0.552705059798245,0.358554191474788,0,-1.74235312403422
"122","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-REF",76.85723,-26.82277,0.433441782217482,3.06584637250052,1.52472415533243,0.776313108579529,0.885063355114471,0.0522219295010276,0,-2.19755014150238
"123","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Diet",76.85723,-26.82277,0.398247040597834,1.7852673358862,0.365394301208519,0.958499068433839,0.685193254410064,0.039409874071342,0,-1.66899636516388
"124","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Waste",76.85723,-26.82277,0.0406877782308757,2.49979033531285,0.976800874414717,0.526528510638627,0.781151707405514,0.154073449602192,0.0625806764719302,-2.73174740556787
"126","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (livestock)",76.85723,-26.82277,0.312247919965919,1.99436642221268,0.937229621222816,0.776313108579529,0.708148476366073,0.0613520206544074,0,-1.90235689632084
"127","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP1-REF",76.85723,-26.82277,0.137170791758029,2.99401260736819,1.4709003964244,0.615803651065472,0.742500825392759,0.235525580905211,0,-1.67842938220673
