"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","All_crop_feed","All_plant_food","Yield","NUEinc","rstand"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",106,2.3,0.164874643190234,0.615498124247747,0.326936760584516,0.105263157894737,0.201201201201201,2.21515776214991
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",106,2.3,0.583584978048419,1.44365228808232,0.497699244953922,0.894736842105263,-0.0465465465465465,-0.652927157828913
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",106,2.3,0.417965270872396,1.16021512048005,0.424676804851153,0.842105263157895,-0.0795795795795795,-1.90318491527416
"62","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:BAU_CC:None_Nboundary:No_constrain",100.65,-3.05,0.118478273306675,0.224757059983925,0.146358894273391,0.152173913043478,0.0222222222222221,1.64605735114967
"67","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",100.65,-3.05,0.118417594561688,0.252846568964272,0.237920545283772,0.152476397515528,0.110795555555556,2.31651054723721
"77","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",100.65,-3.05,0.15624729410557,0.622978534129908,0.501723279568461,0.438105900621118,0.0556555555555556,-0.770344913581821
"81","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",100.65,-3.05,-0.228723808871444,0.622976126741539,0.501720516333371,0.438089440993789,0.316011111111111,-1.28259493141857
"84","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",100.65,-3.05,0.17354366853184,0.78032058064659,0.595914157136668,0.483559937888199,0.0299266666666667,-1.85558555349994
"87","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:DietShift_CC:None_Nboundary:No_constrain",100.65,-3.05,0.163872968905061,0.164255935852134,0.666377314640676,0.37234751552795,0.0569511111111112,-0.693984563352061
"90","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",103.01,-0.689999999999998,0.563781451503423,0.789686253966565,0.548581554140418,0,-0.0171428571428572,1.67012540874413
"91","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",103.01,-0.689999999999998,0.428338420212494,0.605618229015493,0.387307204693961,0,-0.0152380952380953,1.4825436284047
"92","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",103.01,-0.689999999999998,0.285154854932523,-0.0980362480850276,0.747332141530787,0,-0.0533333333333334,-1.46849655909594
"94","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",103.01,-0.689999999999998,0.666287382954436,0.789686253966565,0.548581554140418,0.5,-0.0190476190476191,1.82722488464128
"95","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)",103.01,-0.689999999999998,0.527728844638434,0.789686253966565,0.548581554140418,0,0.0419047619047619,2.11266266524134
"132","Doelman et al. (2022)",2050,"IMAGE 3.2","Agriculture","S4N_TOTAL",100.773734375,-2.926265625,0.241348221699213,-0.0783101581464271,0.355383489618922,0.193963822118327,0.305864394987268,1.97635457726977
"153","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + HW + BAU + SSP3",103.680475008894,-0.019524991105996,0.231389006170609,0.688192786926756,0.539769602274787,0,0,-1.73108769111734
"162","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",103.680475008894,-0.019524991105996,0.132982963940776,0.639813974948365,0.467298594844094,0,0,-2.29727648205018
"180","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3",103.680475008894,-0.019524991105996,0.204768058766368,0.688192786926756,0.539769602274787,0.420351434660392,0.0557428749981833,-2.01713450800657
"207","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3",103.680475008894,-0.019524991105996,-0.151906885172364,0.688192786926756,0.539769602274787,0.529577464788732,0.339,-2.10082063145491
"336","van Vuuren et al. (2021)",2070,"IMAGE 3.2","Agriculture","SSP2_SPA2_19I_D",100.7084609375,-2.9915390625,0.760850139560391,0.713860720527134,0.447913019501532,0.467115894351066,0.10719402876954,2.36125574481197
