"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","Pasture","Rum_meat_kcal_pop","Dairy_kcal_pop","FCR_grass_rum_meat","FCR_grass_dairy","FCR_grass_mon","C_price","rstand"
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.20911754660339,1.87511878739895,0.820748072745303,-0.42191921790584,-0.121212121212121,-0.11657486532836,0,-1.36513210402131
"17","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.336192140400502,0.814845955652801,0.705092339517884,-0.25,-0.25,-0.247640870828346,0,1.62296259849232
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,-0.595549096882483,-0.183634215148082,-0.230629066315101,-0.25,-0.25,-0.24764965461491,0,-2.36177175556255
"40","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,0.370906410105185,0.367314408201106,0.429202824069055,0,0,0.0214907863614819,0,1.9518605167851
"53","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S2","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.577487943684883,-0.677447325097005,0.595169592247538,0,0,-0.00191076371719223,0,-2.3688447829603
"54","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.539216002080598,-0.677447325097005,1.12921419149034,0,0,-0.289145649368331,0,-1.71413751346386
"57","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.674361928038326,-0.833910523545951,1.32676257468809,1.55431223447522e-15,0,-0.37341274831419,0,-2.21105717446532
"59","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.873041130552216,-1,0.778528543260774,-1,0,-0.004310797312713,0,-1.30857379251875
"113","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Ramankutty et al., 2008",2895,-382,0.181359255717669,0.393232415902141,0.393232415902141,0,0,-0.073461146087213,0,0.764540080574926
"114","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Ramankutty et al., 2008",2895,-382,-0.326335997186425,0.114585932721712,0.393232415902141,-0.349577179395989,-0.43738696158788,-0.325415818861813,0,-0.763923698849569
"244","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.520508961377868,3.51380723610919,2.59787386001818,-0.683443809419173,-0.241404504910874,-1,0,-0.956007177882469
"245","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.493756843487877,3.51380723610919,2.59787386001818,-0.683443809419173,-0.241404504910874,-1,0,-1.13878238636356
"254","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+bau (0.7+G+HY+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.343589200661911,0.897697676762224,2.82700276103488,-0.683443809419173,-0.241404504910874,-0.566475974733661,0,2.32632814612452
"275","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.500197228694396,-1,-1,-1,-1,-0.163285049977325,0,1.74552865579673
"276","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-RICH+mono (0.7+R+FAO+RICH+mono)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.427480730245592,-1,-1,-1,-1,-0.163285049977325,0,2.24234065470645
"279","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-BAU+bau (0.7+R+FAO+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.624941429770165,1.17309412019528,1.10079602657464,-0.298007560143555,0.347032304986548,-0.163285049977325,0,2.49789345086511
"280","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-BAU+bau (0.7+R+Org+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.496603104623999,1.17309412019528,1.10079602657464,-0.298007560143555,0.347032304986548,-0.163285049977325,0,1.62106327872085
"291","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-VEGET+rumi (0.7+R+YGC+VEGET+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.443066746755412,-1,3.48522062576459,-1,0.347032304986548,-0.163285049977325,0,0.651379426659376
"297","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+bau (0.7+R+Org+VEGET+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.36458246432163,-1,2.86320794193255,-1,-1,-0.163285049977325,0,1.39346567015241
