"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","Pasture","Rum_feed_grass","rstand"
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,78.7399999999998,0.20911754660339,0.644161656572278,-1.29362890372988
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,78.7399999999998,0.436933374079467,0.167678367364904,2.12966163881156
"15","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","FAO - Permanent meadows and pastures",3306.56753465931,47.5675346593061,0.781589520534003,0.793184474574322,1.49120700243441
"16","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,47.5675346593061,0.59229300925875,0.606863804287024,1.12434058074964
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","FAO - Permanent meadows and pastures",3306.56753465931,47.5675346593061,0.187726347022668,0.793184474574322,-2.14707595394214
"20","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","FAO - Permanent meadows and pastures",3306.56753465931,47.5675346593061,0.781589520534003,0.793184474574322,1.49120700243441
"21","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","FAO - Permanent meadows and pastures",3306.56753465931,47.5675346593061,0.781589520534003,0.793184474574322,1.49120700243441
"22","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,47.5675346593061,-0.595549096882483,-0.394682002175989,-1.89104589119489
"55","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,104.81054,0.783151294019424,0.766413551815518,2.27552341647338
"58","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,104.81054,-0.539216002080598,-0.0848049025944212,-2.20371674891272
"59","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,104.81054,0.922268799550455,0.892871901216389,2.58970260795744
"61","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S2","FAO - Permanent meadows and pastures",3363.81054,104.81054,-0.720571599247,-0.334651520510468,-2.25161077700582
"62","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,104.81054,-0.674361928038326,-0.125141046022366,-2.86004093914494
"63","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S1","FAO - Permanent meadows and pastures",3363.81054,104.81054,1.0604873984258,1.01784822053502,2.9046811762881
"65","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,104.81054,-0.873041130552216,-0.416586087271596,-2.83705324058531
"187","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","FAO - Permanent meadows and pastures",3322,63,0.661950632149308,0.809348775514868,1.42061320328226
