"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","All_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold","rstand"
"36","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","GO",13.85,-4,0.924909747292419,0.942427505221009,0.536707056307912,0.341388734784937,-0.0306980005568331,0,1.4576081470589
"37","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","OS",13.85,-4,0.776173285198556,0.895591413988371,0.392322574075959,0.191062634437471,-0.0147529544583104,0,1.30426670751194
"39","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.630041548985163,0.536987410808323,0.402097546074738,0.339562258401602,0.0264074408709448,0.0711216232615079,1.41756228970453
"40","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","OS",13.85,-4,1.10872385726344,1.5975700000497,0.560533550554933,0.267501538800964,-0.0246223438578625,0,2.48978893484794
"41","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.860826564067697,1.03513093830887,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771,2.13914731913456
"42","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IAASTD",14,-3.85,0.642857142857143,0.631362243465859,0.775121802579022,0.53731413097164,0.0322236960824144,0,-1.26031496493231
"43","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","EX",14,-3.85,0.642857142857143,0.612858120661127,0.775121802579022,0.53731413097164,0.0442109110250725,0,-1.06252973494981
"45","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","ST",14,-3.85,0.642857142857143,0.631362243465859,0.775121802579022,0.53731413097164,0.0322236960824144,0,-1.26031496493231
"47","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","DI",14,-3.85,0.642857142857143,0.634200338514088,0.775121802579022,0.53731413097164,0.0197372177979224,0,-1.44498945819191
"50","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.0777404921700224,-0.0911855955666111,0.747332141530787,0,0.0569715142428784,0,-1.6017473629783
"52","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.714765100671141,0.803935407125408,0.548581554140418,0.5,0.0254872563718141,0,2.41204824345031
"55","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0268456375838927,-0.39101321924329,0.557994025442972,0.5,0.0629685157421288,0,-2.48061951879217
"68","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","High pop",16.1,-1.75,0.795031055900621,0.444009025056407,0.422837698255235,0,0,0,1.50746540774903
"72","Mogollon et al. (2018b)",2020,"IMAGE-DPPS","Agriculture","SSP1",17.3584449690543,-0.491555030945705,0.0240500675704911,0.117924354931661,0.122241597942263,0.169811320754717,0.041114070952479,0,-1.58803245326903
"91","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP5",17.3584449690543,-0.491555030945705,0.498419915860531,0.589663533145707,0.405216727406846,0.478020781241123,0.135437781100238,0,1.72107100521207
"92","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario A",19.6506550218341,1.80065502183406,0.22,0.347000188892676,0.347000188892676,0.773938756224677,0.2,0,-0.309845874111311
"93","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario B",19.6506550218341,1.80065502183406,0.46,1.40137320956339,0.260802010557454,0.773938756224677,0.2,0,0.927287290187579
"114","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.167471729178938,0.708274004673915,0.467298594844094,0,0,0,-2.33170182676413
"141","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.0778293303792807,0.708274004673915,0.467298594844094,0.420351434660392,0.0970744462842434,0,-2.74073371909569
"159","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.406526835734161,0.697510405446015,0.539769602274787,0.529577464788732,0.0970744462842434,0.5,-2.15608009668491
"168","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.46108533481036,0.708274004673915,0.467298594844094,0.529577464788732,0.0970744462842434,0.5,-2.38047708769813
