"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","All_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold","rstand"
"37","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","OS",13.85,-4,0.57446121030497,0.895591413988371,0.392322574075959,0.191062634437471,-0.0147529544583104,0,1.17804826157793
"39","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.488605504668748,0.536987410808323,0.402097546074738,0.339562258401602,0.0264074408709448,0.0711216232615079,1.98516242791228
"41","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","OS",13.85,-4,0.746082957534302,1.5975700000497,0.560533550554933,0.267501538800964,-0.0246223438578625,0,0.999056379613975
"42","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.621020778297144,1.03513093830887,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771,1.97283050158643
"43","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IAASTD",14,-3.85,0.496436886313891,0.631362243465859,0.775121802579022,0.53731413097164,0.0322236960824144,0,-1.02697676106844
"44","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","EX",14,-3.85,0.496436886313891,0.612858120661127,0.775121802579022,0.53731413097164,0.0442109110250725,0,-0.873218560799317
"46","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","ST",14,-3.85,0.496436886313891,0.631362243465859,0.775121802579022,0.53731413097164,0.0322236960824144,0,-1.02697676106844
"48","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","DI",14,-3.85,0.496436886313891,0.634200338514088,0.775121802579022,0.53731413097164,0.0197372177979224,0,-1.16511447048153
"51","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.074866712680907,-0.0911855955666111,0.747332141530787,0,0.0569715142428784,0,-1.50483125174683
"53","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.5392761036983,0.803935407125408,0.548581554140418,0.5,0.0254872563718141,0,1.76982136693829
"55","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0299999999999976,0.0701852997099241,0.803935407125408,0.548581554140418,0,0.146926536731634,0,-0.892464998607187
"56","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0272125635248848,-0.39101321924329,0.557994025442972,0.5,0.0629685157421288,0,-2.02694151875881
"65","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","BAU",16.1,-1.75,0.753406372078142,0.444009025056407,0.422837698255235,0,0,0,2.19933200117379
"74","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","High pop",16.1,-1.75,0.887303195000903,0.798640843778001,0.772270085395745,0,0,0,1.51777117508068
"75","Mogollon et al. (2018b)",2020,"IMAGE-DPPS","Agriculture","SSP1",17.3584449690543,-0.491555030945705,0.0237654195338456,0.117924354931661,0.122241597942263,0.169811320754717,0.041114070952479,0,-1.31384151692701
"94","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP5",17.3584449690543,-0.491555030945705,0.404411163477278,0.589663533145707,0.405216727406846,0.478020781241123,0.135437781100238,0,1.17589867237292
"98","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B2",20.625,2.775,0.229667677391153,0.639322410931003,0.568407889343496,0.0106733239263359,0.15,0,-1.249788324811
"99","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario A",19.6506550218341,1.80065502183406,0.198850858745165,0.347000188892676,0.347000188892676,0.773938756224677,0.2,0,-0.398439079789291
"100","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario B",19.6506550218341,1.80065502183406,0.378436435720245,1.40137320956339,0.260802010557454,0.773938756224677,0.2,0,0.401114763118098
"121","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.154840495431704,0.708274004673915,0.467298594844094,0,0,0,-2.3633747882148
"139","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.171383898540956,0.697510405446015,0.539769602274787,0.420351434660392,0.0970744462842434,0,-2.13409244261363
"148","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.0749491393398621,0.708274004673915,0.467298594844094,0.420351434660392,0.0970744462842434,0,-2.80376739446691
"166","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.521763282018989,0.697510405446015,0.539769602274787,0.529577464788732,0.0970744462842434,0.5,-2.05771609689632
"175","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.618198041220083,0.708274004673915,0.467298594844094,0.529577464788732,0.0970744462842434,0.5,-2.7273910487496
