"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold","rstand"
"57","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","OS",13.85,-4,0.57446121030497,1.38810139106977,0.684797693161683,0.392322574075959,0.191062634437471,-0.0147529544583104,0,1.23272812642831
"59","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.488605504668748,0.808858251375369,0.417839677269214,0.402097546074738,0.339562258401602,0.0264074408709448,0.0711216232615079,2.46806255560022
"60","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","GO",13.85,-4,0.857559623089093,2.91314087592971,1.16000069466718,0.811831789023521,0.579887457338432,-0.0513214473534962,0,-1.0306922298976
"62","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.621020778297144,1.93646527024681,0.682764211636072,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771,1.57335903770561
"71","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.074866712680907,-0.103866658576462,-0.0919053729388294,0.747332141530787,0,0.0569715142428784,0,-1.74339031980759
"73","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.5392761036983,0.774673866958284,0.802978662595083,0.548581554140418,0.5,0.0254872563718141,0,2.46276464283574
"75","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0299999999999976,0.0701852997099241,0.774673866958284,0.802978662595083,0.548581554140418,0,0.146926536731634,0,-1.23266263382406
"76","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0272125635248848,-0.400626475446402,-0.391275849326701,0.557994025442972,0.5,0.0629685157421288,0,-1.81845483416396
"85","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","BAU",16.1,-1.75,0.753406372078142,0.444009025056407,0.444009025056407,0.422837698255235,0,0,0,2.68888701588262
"95","Mogollon et al. (2018b)",2020,"IMAGE-DPPS","Agriculture","SSP1",17.3584449690543,-0.491555030945705,0.0237654195338456,0.0997654718086558,0.093161301775869,0.122241597942263,0.169811320754717,0.041114070952479,0,-1.3146053248701
"116","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A2",20.625,2.775,0.618945963965856,1.33120657797709,1.91216375246211,0.657785892391828,0.0106733239263359,0,0,1.08794365008251
"117","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B1",20.625,2.775,0.0415490029128725,0.69252137926391,-0.876972877070049,0.418337835673338,0.336479336479336,0.15,0,-1.39217130619706
"119","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario A",19.6506550218341,1.80065502183406,0.198850858745165,0.347000188892676,0.347000188892676,0.347000188892676,0.773938756224677,0.2,0,-0.192962213251961
"120","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario B",19.6506550218341,1.80065502183406,0.378436435720245,1.44470401876646,1.42585526229479,0.260802010557454,0.773938756224677,0.2,0,0.554147723291359
"141","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.154840495431704,0.604400836725545,0.711159315703535,0.467298594844094,0,0,0,-2.33990321775125
"168","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.0749491393398621,0.604400836725545,0.711159315703535,0.467298594844094,0.420351434660392,0.0970744462842434,0,-2.80107987426129
"195","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.618198041220083,0.604400836725545,0.711159315703535,0.467298594844094,0.529577464788732,0.0970744462842434,0.5,-2.74264853043762
