"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","All_crop_feed","All_plant_food","Yield","PUEinc"
"58","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0799999999999983,0.074866712680907,-0.0980362480850276,0.747332141530787,0,0.0569715142428784
"60","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0799999999999983,0.5392761036983,0.789686253966565,0.548581554140418,0.5,0.0254872563718141
"62","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0799999999999983,0.0701852997099241,0.789686253966565,0.548581554140418,0,0.146926536731634
"63","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0799999999999983,-0.0272125635248848,-0.395660230181961,0.557994025442972,0.5,0.0629685157421288
"72","Mogollon et al. (2018b)",2020,"IMAGE-DPPS","Agriculture","SSP1",17.3584449690543,-0.441555030945704,0.0237654195338456,0.0981559593507448,0.122241597942263,0.169811320754717,0.041114070952479
"89","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP3",17.3584449690543,-0.441555030945704,0.42511583333625,1.26421109305604,0.523119091798664,0.318534309009336,0.0255454816662325
"91","Mogollon et al. (2018b)",2050,"IMAGE-DPPS","Agriculture","SSP5",17.3584449690543,-0.441555030945704,0.404411163477278,0.583907967912301,0.405216727406846,0.478020781241123,0.135437781100238
"103","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + HW + BAU + SSP3",17.8487687210036,0.0487687210035972,0.248967090655967,0.688192786926756,0.539769602274787,0,0
"112","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",17.8487687210036,0.0487687210035972,0.154840495431704,0.639813974948365,0.467298594844094,0,0
"121","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + FW + BAU + SSP3",17.8487687210036,0.0487687210035972,0.340165639629524,0.784950410883539,0.684711617136172,0.420351434660392,0.0970744462842434
"130","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3",17.8487687210036,0.0487687210035972,0.171383898540956,0.688192786926756,0.539769602274787,0.420351434660392,0.0970744462842434
"139","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",17.8487687210036,0.0487687210035972,0.0749491393398621,0.639813974948365,0.467298594844094,0.420351434660392,0.0970744462842434
