"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Population","Rum_meat_kcal","Non_rum_kcal","Dairy_kcal","Vegetal_kcal","Yield","FCR_FCF_ruminants","FCR_FCF_monogastrics","WUEinc","rstand"
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.340394432548294,0.267090275115077,1.77966381015162,-0.171321611844873,0.232515012363123,0.0587756071825813,-1,-0.0846205653949584,-0.000405732286756444,0,1.75063032966811
"3","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.149945546740814,0.267090275115077,-0.0444957152274225,-0.0795827374442669,-0.0124514305898975,-0.00431113009739292,-1,0.04983655333119,-0.0253843371526761,0,-1.06165282460571
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.096983325947157,0.267090275115077,3.12228081740277,0.618995541347691,-0.764217590957259,-0.191267426216178,-1,0.057223344162282,-0.0442885380491804,0,-1.06617089544739
"21","Davis et al. (2016)",2020,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.308008454686605,0.129050913504077,0.107317073170732,0.111916801704735,0.143292682926832,-0.0103810327546704,0,-0.0158607555289121,-0.0211691815898228,0,1.35386619414529
"23","Davis et al. (2016)",2020,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.295159648648426,0.129050913504077,-0.268292682926829,-0.109694970590883,0.073170731707316,-0.0404223911152291,0,-0.165228800186216,-0.0487169276441538,0,1.66616387241441
"25","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.454484843521844,0.182698116798426,0.156097560975609,0.16116540829656,0.208425720620845,-0.0150996840067937,0,-0.0218531652893321,-0.0285329310388825,0,2.47816027871417
"26","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.391525693934767,0.182698116798426,-0.195121951219513,-0.152392908120201,0.328159645232816,0.0108405678484864,0,-0.20624420080658,-0.0252228537800591,0,1.75972462173178
"28","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0497474533192104,0.182698116798426,-0.390243902439024,-0.316963608611068,0.314855875831489,-0.0431105748770189,0,-0.285028225671404,0.0340247757574486,0,-1.54512401131776
"30","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,0.232667189183218,-0.512195121951219,-0.417943078856116,0.413248337028824,-0.0565826295260863,0,-0.352567096839656,0.0537409661827282,0,-2.00750605092949
"32","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.37167095219267,0.319489174670357,0.905228758169935,0.259722222222222,0.831081081081081,0.0637867616987489,0,0.0113850697434883,5.96031510573525e-05,0.0917584035933876,0.905510070180377
"33","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.544071241308274,0.319489174670357,-0.0245098039215687,-0.399074074074074,0.0101351351351351,0.284367650334286,0,-0.00730545219894008,8.72985482911481e-05,0,-0.255267993823189
"89","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 2 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.456019629897425,0.277933584686775,-0.50861699480022,0.0493713122344712,0.411733370756091,0.0568129979456435,0.215605554383302,-1,-1,0.066757324515496,2.12658123218263
"96","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.564152950642887,0.235214762180975,-0.555037904600996,0.0470999451582683,0.462136238209932,0.0642539069748123,0.403029153307945,-1,-1,-0.0101006712820281,2.16735123993824
"100","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.621575732654859,0.230571055684455,-0.59227946883765,0.0435150233543775,0.510608983718012,0.0709806998343707,0.442873099647748,-1,-1,-0.0291228249981063,2.40265734600926
"123","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0363007904792463,0.369906431404335,-0.47834274952919,-0.926019124308002,-0.45230369889682,0.0963011031797534,0.331707317073171,-1,-1,0,-2.38356886181212
"124","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0415220371612752,0.369906431404335,-0.485875706214689,-0.926019124308002,-0.466580142764439,0.0912827168505299,0.170731707317073,-1,-1,0,-2.27293647454758
"125","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0392468570428492,0.369906431404335,-0.483992467043315,-0.926019124308002,-0.463335496430889,0.0925805753839499,0.209756097560976,-1,-1,0,-2.31224267813847
"126","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0376571478575387,0.369906431404335,-0.48210922787194,-0.926019124308002,-0.45944192083063,0.0938784339173697,0.251219512195122,-1,-1,0,-2.34376631769682
"127","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03668727940962,0.369906431404335,-0.480225988700565,-0.926019124308002,-0.45619727449708,0.0951330304996756,0.290243902439024,-1,-1,0,-2.36738566429133
"154","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.344901263016655,0.369906431404335,-0.00188323917137478,0.109209864116759,0.0616482803374432,-0.0754921046939216,0.391242917560976,-0.14834574691062,-0.144310705773779,0,1.25887483199183
"155","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.344230376571478,0.369906431404335,0.00376647834274935,0.0840463009562156,0.0687865022712524,-0.0717715768981182,0.180659011219512,-0.0751796513578938,-0.0689185250945552,0,1.25834462747025
