"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","WUEinc","rstand"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.2026189461003,0.267090275115077,-0.15112926608844,-0.171657833422284,-1,-0.0548114319303853,-1,0,0.596855694429054
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.340394432548294,0.267090275115077,0.281957097799991,-0.171657833422284,-1,0.0587756071825813,-1,0,0.97459309599363
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.096983325947157,0.267090275115077,0.606678222526763,0.54729259571326,-1,-0.191267426216178,-1,0,-1.65116941984285
"23","Davis et al. (2016)",2020,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.295159648648426,0.129050913504077,-0.268292682926829,-0.153067896289833,0.0731707317073158,-0.0404223911152291,0,0,1.11470975272015
"25","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.454484843521844,0.182698116798426,0.156097560975609,0.128033955776898,0.208425720620845,-0.0150996840067937,0,0,1.66438674865322
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.433926753860757,0.182698116798426,-0.390243902439024,-0.220518182421661,0.106430155210644,-0.0587962052585169,0,0,2.13734112213602
"28","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0497474533192104,0.182698116798426,-0.390243902439024,-0.293723448559883,0.314855875831489,-0.0431105748770189,0,0,-1.62720053750529
"30","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.51101959008983,0.232667189183218,-0.256097560975611,-0.228258823394141,0.43070953436807,0.0142282453011402,0,0,1.68936775452489
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,0.232667189183218,-0.512195121951219,-0.386662777540499,0.413248337028824,-0.0565826295260863,0,0,-2.03058333763655
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.630513486244894,0.279268862392796,-0.317073170731708,-0.28269510738795,0.533259423503324,0.017615922753792,0,0,2.37210538779123
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0176254382237633,0.279268862392796,-0.634146341463415,-0.468258939969632,0.511640798226165,-0.0700546841751546,0,0,-2.49801574235533
"41","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.37167095219267,0.319489174670357,0.905228758169935,0.259797305636124,0.831081081081081,0.0637867616987489,0,0.0917584035933876,0.334343362156329
"42","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.544071241308274,0.319489174670357,-0.0245098039215687,-0.39902161411311,0.0101351351351351,0.284367650334286,0,0,-0.309488542436738
"88","Graham et al. (2018)",2035,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.392865251512359,0.19030626450116,-1,-1,-1,0.14078638903156,0.293608552646265,0.126184290725265,1.74646266602669
"92","Graham et al. (2018)",2035,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.417932030281145,0.196491734338747,-1,-1,-1,0.14078638903156,0.304127452678641,0.137305813407209,2.09884710259383
"109","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 2 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.519362690305528,0.308275812064965,-1,-1,-1,0.0642539069748123,0.244701134554276,0.0766191429724135,1.78135795839587
"117","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.621457392830837,0.244812064965197,-1,-1,-1,0.0709806998343707,0.454168558483238,-0.0121648431044837,1.85526323090543
"119","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 2 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.571701006880446,0.332792633410673,-1,-1,-1,0.0709806998343707,0.27276791093464,0.0866318950257201,2.16248751534281
"138","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0363007904792463,0.369906431404335,-1,-1,-1,0.0963011031797534,0.331707317073171,0,-1.89609300002916
"139","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0415220371612752,0.369906431404335,-1,-1,-1,0.0912827168505299,0.170731707317073,0,-1.80719601793406
"140","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0392468570428492,0.369906431404335,-1,-1,-1,0.0925805753839499,0.209756097560976,0,-1.83882202712289
"141","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0376571478575387,0.369906431404335,-1,-1,-1,0.0938784339173697,0.251219512195122,0,-1.86404778381805
"142","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03668727940962,0.369906431404335,-1,-1,-1,0.0951330304996756,0.290243902439024,0,-1.88313999088748
"163","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.0108450147842456,0.0293281106853143,0.0819217257043121,0.0760545100584038,0.326829268292683,0,2.08465397841707
"164","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590533208879036,0.369906431404335,-0.00423631728170171,0.0999147793597999,0.0399650920808254,0.0674453817867187,0.373170731707317,0,2.14521740905037
"165","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590569670098883,0.369906431404335,0.0798676421846594,0.170639201486899,0.137906895983389,0.0703006705602423,0.170731707317073,0,2.01900565650307
"166","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.369906431404335,0.0631024479622162,0.129258269138461,0.120607459653076,0.0727233398226259,0.209756097560976,0,2.04640466533358
"167","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.369906431404335,0.0478960369106138,0.0915754017721344,0.105043823113765,0.0747999134760977,0.246341463414634,0,2.07711195823238
"168","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.0108450147842456,0.0293281106853143,0.0819217257043121,0.0760545100584038,0.327190791219512,0,2.08465397841707
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.369906431404335,-0.0384656941438565,0.1117693119169,0.00472151983709646,0.0653255461821327,0.34574398902439,0,2.02728528113895
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.369906431404335,0.0429203818567983,0.183543623939756,0.0995914847343495,0.0678347393467447,0.145050182195122,0,1.82183534080168
"175","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.558935915759998,0.369906431404335,0.0268977210084078,0.141282997084548,0.0825401149514851,0.0700410988535582,0.178049392926829,0,1.77633178599101
"176","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.552825015313712,0.369906431404335,0.0123741374889306,0.102196715488772,0.0677624289760315,0.07190136275146,0.210863377073171,0,1.7414722142497
"177","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.0108450147842456,0.0293281106853143,0.0819217257043121,0.0760545100584038,0.327190791219512,0,2.08465397841707
"193","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0537245485472015,0.448260806287294,0.214795551929312,0.166670231961572,0.0733981066630478,0.0631853017013426,0.420351434660392,0.233343326088586,-2.02309006233433
"202","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0212192837656079,0.448260806287294,0.192616389065772,0.181527048356848,0.0593541601674565,0.013145276371598,0.420351434660392,0.233343326088586,-2.32651443236322
"220","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0533629044231423,0.448260806287294,0.214795551929312,0.166670231961572,0.0733981066630478,0.0631853017013426,0.529577464788732,0.23234561193135,-2.04177647701697
"229","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0215817959333953,0.448260806287294,0.192616389065772,0.181527048356848,0.0593541601674565,0.013145276371598,0.529577464788732,0.23234561193135,-2.3452089519833
"268","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.611996937775531,0.337285016232746,0.484955573505655,0.28371437523301,1.1670470505618,0.0425146992311172,0.39821596,-0.0171945704441513,2.12940742287217
"271","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.552363732536952,0.337285016232746,0.682875605815832,0.338112109581154,0.955477528089888,0.0425146992311172,0.40906935,-0.0241108631001125,1.53425573804177
"276","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.157180101640452,0.337285016232746,0.095799676898223,-0.277197986192369,0.461054541198502,0.171867933061963,0.35577975,0.0178031460784944,-1.82886810274922
