"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc","rstand"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.2026189461003,0.0755958517691366,-1,0.0495843037383767,0.197639242750954,-1,0,0.755788542475642
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.340394432548294,0.624355371737117,-1,0.0495843037383767,0.34156427539011,-1,0,1.02811411082031
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.096983325947157,1.03580635100284,-1,0.960559400785837,0.0247371794102678,-1,0,-1.44660760037412
"25","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.454484843521844,0.367314408201106,0.429202824069055,0.334123635182016,0.16483974895934,0,0,1.67778309579285
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.433926753860757,-0.278842611708277,0.308572860936619,-0.0781083222714843,0.113159955564285,0,0,2.15693732522525
"30","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.51101959008983,-0.0830158714612661,0.763588700267119,-0.0486999730563069,0.250205880325584,0,0,1.72940396950843
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,-0.398698932105747,0.742064855223177,-0.243959329969406,0.162919638288702,0,0,-1.95609555744718
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.630513486244894,-0.126352972024434,0.961451038458131,-0.0823741860393961,0.301804363854039,0,0,2.43410224961609
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0176254382237633,-0.53197480644166,0.933795004293324,-0.319760219047412,0.189650086262759,0,0,-2.35796364038936
"41","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.37167095219267,1.51392872167588,1.41609166443018,0.662288907065748,0.403655116219133,0,0.0917584035933876,0.461085819428541
"42","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.544071241308274,0.287148753722554,0.332862375764988,-0.207015525611385,0.694709210912892,0,0,-0.379096614846403
"88","Graham et al. (2018)",2035,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.392865251512359,-1,-1,-1,0.357885185321923,0.293608552646265,0.126184290725265,1.79043141973062
"92","Graham et al. (2018)",2035,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.417932030281145,-1,-1,-1,0.364941485122408,0.304127452678641,0.137305813407209,2.15551116032436
"107","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.564152950642887,-1,-1,-1,0.314582136604066,0.403029153307945,-0.0101006712820281,1.24469101242383
"109","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 2 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.519362690305528,-1,-1,-1,0.392337644390784,0.244701134554276,0.0766191429724135,1.94751336309118
"113","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.621575732654859,-1,-1,-1,0.317917850412858,0.442873099647748,-0.0291228249981063,1.39346615089681
"117","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.621457392830837,-1,-1,-1,0.333169696498695,0.454168558483238,-0.0121648431044837,1.56798848638506
"119","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 2 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.571701006880446,-1,-1,-1,0.427395187264257,0.27276791093464,0.0866318950257201,2.34415296990589
"138","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0363007904792463,-1,-1,-1,0.501829932001612,0.331707317073171,0,-1.93368133654967
"141","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0376571478575387,-1,-1,-1,0.498511101797906,0.251219512195122,0,-1.81693599801708
"142","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.03668727940962,-1,-1,-1,0.500229781724826,0.290243902439024,0,-1.87717544846979
"163","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.384763086905948,0.482131530318414,0.410083198853085,0.474093993870648,0.326829268292683,0,1.88491942806719
"164","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590533208879036,0.364103073114663,0.424654868077524,0.50678033024167,0.462300293682482,0.373170731707317,0,1.91801201516379
"165","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590569670098883,0.4793176280942,0.558825975146989,0.603666170970938,0.466211772136848,0.170731707317073,0,1.97870625007131
"166","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.456350880705133,0.535127366058423,0.546978165609305,0.469530602340553,0.209756097560976,0,1.96500211108155
"167","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.435519520406964,0.513806640267181,0.495356163250418,0.472375313943729,0.246341463414634,0,1.95731428771436
"168","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.384763086905948,0.482131530318414,0.410083198853085,0.474093993870648,0.327190791219512,0,1.88455069821291
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.317212029608234,0.376374471795177,0.523019930632934,0.45939631725424,0.34574398902439,0,1.83952140776604
"174","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.566271913193128,0.428703338548293,0.506337446855027,0.621344022282666,0.462833677108077,0.145050182195122,0,1.8204926267306
"175","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.558935915759998,0.406753792403873,0.482978665725228,0.563450917758537,0.465856183186451,0.178049392926829,0,1.74025076910503
"176","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.552825015313712,0.386857841933503,0.46273461866618,0.509906369220803,0.468404570664296,0.210863377073171,0,1.67097153000852
