"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc","rstand"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.184501633781872,0.137221599443406,0.0495843037383767,0.197639242750954,0,0,0.691487880008213
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.616413364902244,0.0495843037383767,0.34156427539011,0,0,0.799971610425057
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.81559590024241,0.960559400785837,0.0247371794102678,0,0,-2.01567841399882
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.360416662672584,-0.240898419186613,-0.0781083222714843,0.113159955564285,0,0,1.63905076714947
"28","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0485496145913309,-0.224975409824844,-0.164688052672886,0.131711321077278,0,0,-1.84198339679153
"29","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.470604219078727,0.490682292910548,0.439006110918498,0.208237777565317,0,0,1.72267071466429
"31","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4519726554185,-0.346793052129878,-0.120568109051584,0.137542238277981,0,0,2.5341726798842
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0374725782524234,-0.32501112035429,-0.243959329969406,0.162919638288702,0,0,-2.09267649833718
"33","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.555204988231669,0.610793016611175,0.543445332740409,0.247879459572268,0,0,2.29513356273961
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.488894987445716,-0.0560861051784866,-0.0823741860393961,0.301804363854039,0,0,1.76296167527607
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0174719115457538,-0.437293180776358,-0.319760219047412,0.189650086262759,0,0,-2.41001928620827
"37","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.632521041182496,0.731092155784097,0.647001312825451,0.283776381814625,0,0,2.81288185707516
"38","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.558150498461426,-0.0908819609762969,-0.12322472645118,0.350242513561922,0,0,2.23665366327349
"40","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.00810493024389575,-0.56074574742455,-0.404708108063227,0.212004697664203,0,0,-2.75141989662753
"41","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.62153946205201,-0.132408891405442,-0.170810882878743,0.395153010122046,0,0,2.67496828447927
"46","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.316029669776337,1.49847403165213,0.662288907065748,0.403655116219133,0,0.0917584035933876,0.409089746205204
"47","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.674921180804688,2.26741450165752,1.17388166219983,0.922057661115284,0,0.0917584035933876,0.445791775288231
