"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc","rstand"
"1","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.184501633781872,0.0634394927584798,0.197639242750954,0,0,0.774719930723787
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.139198248592934,0.34156427539011,0,0,0.994000454693063
"4","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.937641113715395,0.0247371794102678,0,0,-1.99448059057549
"47","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.360416662672584,-0.143708193123294,0.113159955564285,0,0,2.03162098213453
"52","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0713805918385198,-0.188982176935416,0.131711321077278,0,0.113466059841618,-2.7002898916649
"53","Davis et al. (2016)","2030","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.470604219078727,0.459830171650893,0.208237777565317,0,0,2.16035727206041
"54","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4127846481899,-0.0404911674960893,0.250205880325584,0,0,1.65093827436881
"55","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4519726554185,-0.21173045449285,0.137542238277981,0,0,2.94511757148285
"60","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.122476377185827,-0.276620941961248,0.162919638288702,0,0.147573619429075,-3.35494668219366
"61","Davis et al. (2016)","2035","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.555204988231669,0.570584571845317,0.247879459572268,0,0,2.75563619869678
"62","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.488894987445716,-0.0717808223023091,0.301804363854039,0,0,2.1892068234649
