"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_crop_feed","All_plant_food","Yield","WPinc","rstand"
"1","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1","FAO AQUASTAT 2013",2889,189,0.790689048099974,1.44365228808232,0.497699244953922,0.210526315789474,-0.363025316850358,-0.719044987694853
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","FAO AQUASTAT 2013",2889,189,0.627893046330743,1.16021512048005,0.424676804851153,0.157894736842105,-0.310099179457695,-1.340209630398
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","FAO AQUASTAT 2013",2889,189,0.601309676388972,0.615498124247747,0.326936760584516,0.105263157894737,-0.287050585937948,2.11255961835529
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2","FAO AQUASTAT 2013",2889,189,0.28273736491432,1.16021512048005,0.424676804851153,0.842105263157895,0.0525010630867031,-2.05940861926209
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","FAO AQUASTAT 2013",2889,189,0.271455597610237,0.615498124247747,0.326936760584516,0.815789473684211,0.0403988494836893,0.995525502279329
"72","Graham et al. (2018)",2045,"GCAM 5.0","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.398806178922353,0.451843175401925,0.229524110646794,0.318100567681322,-0.16625117,2.6522613357549
"76","Graham et al. (2018)",2045,"GCAM 5.0","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.389484832209414,0.434042600696756,0.261347385081977,0.329193915663461,-0.156973432,2.4199197067374
"82","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.444942034128399,0.497654823118998,0.243728129203575,0.366941050800334,-0.200166717,2.6709323464771
"86","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.427553181581641,0.481965895996616,0.283893626161331,0.377642079444936,-0.180124676,2.38291406207753
"87","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.248812854270462,0.497654823118998,0.243728129203575,0.368206753061377,-0.212532983,-2.18251436866697
"91","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.229347593940384,0.481965895996616,0.283893626161331,0.378051822208001,-0.188853808,-2.44502272319988
