"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat"
"7","IMAGE 3.0","CO_2Deg2020",2045,3759.80072999405,16.40624,-0.736840000000029,754.573036431064,"Yes"
"8","IMAGE 3.0","CO_2Deg2020",2050,3047.20352617786,1.50367999999999,-0.842159999999967,882.075346372132,"Yes"
"16","IMAGE 3.0","CO_2Deg2030",2050,3706.46452440737,10.47464,-0.789879999999994,882.075346372132,"Yes"
"17","IMAGE 3.0","CO_BAU",2015,2464.5068945741,5.75372000000002,6.12664000000004,0,"No"
"24","IMAGE 3.0","CO_BAU",2050,3185.82338372026,1.92140000000004,2.48184000000028,0,"No"
"32","IMAGE 3.0","CO_Bridge",2050,2967.76041415491,11.00964,-0.98732,882.075346372132,"Yes"
"64","IMAGE 3.0","EN_INDCi2030_1000",2050,2038.98171353995,31.82732,-0.814239999999791,703.896070349226,"Yes"
"80","IMAGE 3.0","EN_INDCi2030_1200",2050,396.190176443513,20.7463199999998,-0.889759999999751,209.051437409757,"Yes"
"151","IMAGE 3.0","EN_NPi2020_1000f",2045,473.258684121876,18.4748,-0.817479999999796,150.796584148599,"Yes"
"152","IMAGE 3.0","EN_NPi2020_1000f",2050,4276.66450082398,25.20572,-0.868119999999999,121.317877984366,"Yes"
"208","IMAGE 3.0","EN_NPi2020_600f",2050,5725.45786750709,28.44876,-0.977239999999983,855.61305647795,"Yes"
"233","IMAGE 3.0","EN_NoPolicy",2015,2464.5068945741,5.75372000000002,6.12664000000004,0,"No"
"240","IMAGE 3.0","EN_NoPolicy",2050,3185.82338372026,1.92140000000004,2.48184000000028,0,"No"
"247","IMAGE 3.0.1","ADVANCE_2020_1.5C-2100",2045,1228.25331997116,26.48184,-1.18015999999998,0,"No"
"248","IMAGE 3.0.1","ADVANCE_2020_1.5C-2100",2050,1948.0451471391,27.89164,-0.824639999999999,0,"No"
"249","IMAGE 3.0.1","ADVANCE_2020_Med2C",2015,3152.46727097878,6.27921999999999,2.24224000000004,0,"No"
"256","IMAGE 3.0.1","ADVANCE_2020_Med2C",2050,2696.42819737072,4.85140000000001,1.35011999999997,0,"No"
"263","IMAGE 3.0.1","ADVANCE_2020_WB2C",2045,3588.14397983587,5.48247999999999,-0.265920000000006,0,"No"
"265","IMAGE 3.0.1","ADVANCE_2030_Med2C",2015,3152.46147939413,6.27921999999999,2.24224000000004,0,"No"
