"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.230769230769231,2.96391868361907,0.885435731781629,0.424676804851153,0.157894736842105
"4","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0512820512820511,3.50752723764831,1.12855474045358,0.497699244953922,0.894736842105263
"6","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.121794871794872,1.86974845015592,0.0885525817860862,0.326936760584516,0.815789473684211
"10","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0512820512820511,3.50752723764831,1.15214998136275,0.497699244953922,0.894736842105263
"12","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,16.3699999999999,"No",0.403844024567368,0.659320885491868,0.725487154949798,0.521019659277793,0.457286432160804
"15","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0365514501390544,-0.0647620598592322,0.0771826109080296,0.464745908326201,0.231155778894472
"16","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0325654402521867,-0.0655721628672326,0.0762772151592941,0.464946515126509,0.153266331658291
"18","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.361521978415626,-0.15032362398944,0.0378820365357722,0.291930739996779,-0.0226130653266331
"167","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Waste)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.462817882012919,0.620579399332619,0.617995499144527,0.387307204693961,0
"168","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.235790881105187,-0.087697154078389,-0.0919053729388294,0.747332141530787,0
"171","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.292330962381949,-0.3897403677834,-0.391275849326701,0.557994025442972,0.5
"200","Davis et al. (2016)","2035","Davis et al. (2016)","Food","B","Agriculture",1536.18946,17.1894600000001,"No",0.55896637389651,0.610793016611175,0.543445332740409,0.247879459572268,0
"204","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S1","Agriculture",1536.18946,17.1894600000001,"No",0.527761047489811,-0.0908819609762972,-0.12322472645118,0.350242513561922,0
"209","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S3","Agriculture",1536.18946,17.1894600000001,"No",0.398289419513361,-0.885115676053096,-0.349642578989104,0.18687332457654,0
