"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed","Dairy_crop_feed","Mon_feed","Plant_food","C_price"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.207639364778245,2.47621978861584,2.13214412995245,0.628330859265952,0.230402695098723,0
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,"No",0.154150679827258,1.46215643275805,2.33663313163397,-0.0151190926697314,0.200561831005038,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0500104205746612,1.41591016611506,1.17536570342886,0.123403890794944,-0.209547620718763,0
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.129875081421412,0.498703915591859,1.03099408012502,-0.400507273798967,-0.269223233301281,0
"7","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1-HP","Agriculture",1560,41,"No",0.483533481477983,3.29349252347622,2.86600317946324,1.01861531313508,0.404771347961763,0
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0500104205746612,1.41591016611506,1.17536570342886,0.135856934608119,-0.209547620718763,0
"13","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,16.3699999999999,"No",0.339214205819281,0.140510801825539,0.0979662620494401,0.184041185637965,0.0437341799871755,0
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,-0.251827273415335,0.00864784720891332,-0.125063920119601,0.189732390844547,0
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,-0.201990199200649,0.0758649839992076,-0.0667574474217884,0.270258634031265,0
"156","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.380364631728159,0.626171253207116,0.528344962860542,0.617995499144527,0.38730720469396,0
"157","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.211711154676902,-0.0847046423775344,-0.137056925731803,-0.0919053729388296,0.747332141530787,0
"159","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.0969883215292513,0.209897303768535,0.136728226345256,0.201985775063389,0.0323877027602786,0
"160","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.345778755573821,-0.591817107574041,-0.615314533157551,-0.594183899551134,0.0386626836286479,0
"248","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0297160141401227,0.0975213339936389,0.137049062195667,0.0767875267991669,0.246756033024831,0
"251","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0164010193908189,0.0999028667616628,0.148290107923365,0.0599905494083486,0.273976717689354,0
"254","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.00964489886749943,0.0941821931853299,0.145358004189758,0.0458270564031977,0.288520141296647,0
"257","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",0.00124243970314326,0.082974941820948,0.123945718700855,0.0347918731735948,0.31043319508071,0
"266","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",1549,30,"No",0.334323512950918,0.393232415902141,0.393232415902141,0.327412943128251,0.393232415902141,0
"267","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",1549,30,"No",0.084465847368406,-0.273307833703799,-0.232486144348593,-0.36267634443984,-0.110267312151389,0
"268","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,"No",0.226300640596589,-0.0190687735808116,0.0360347099310543,-0.160151400768111,-0.0160377248572862,0
"269","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org","Agriculture",1354.61,-164.39,"No",0.0220926823935463,-1,-1,-1,0.550022002257138,0
