"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield"
"13","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,16.3699999999999,"No",0.339214205819281,0.662050917233198,0.600051336654963,0.725487154949798,0.521019659277793,0.457286432160804
"16","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,-0.0788828240540551,0.241802625960722,0.0771826109080296,0.464745908326201,0.231155778894472
"17","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,-0.0796821644047685,0.240758863456372,0.0762772151592941,0.464946515126509,0.153266331658291
"19","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.308603175796555,-0.166323874038002,0.197045085062209,0.0378820365357722,0.291930739996779,-0.0226130653266331
"160","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.211711154676902,-0.0847046423775345,-0.137056925731803,-0.0919053729388294,0.747332141530787,0
"162","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.0969883215292513,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0.5
"165","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.345778755573821,-0.387725661361061,-0.422971799736326,-0.391275849326701,0.557994025442972,0.5
"274","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,"No",0.226300640596589,0.454622915657015,0.53633587135676,0.245411487800968,0.45911765780913,0.4829
"276","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org","Agriculture",1354.61,-164.39,"No",-0.201643157628153,-1,-1,-1,0.697522384370079,0.282926829268293
"279","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_40Org","Agriculture",1354.61,-164.39,"No",-0.12029243798769,-1,-1,-1,0.697640914020211,0.207317073170732
"280","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_20Org","Agriculture",1354.61,-164.39,"No",-0.162092155802698,-1,-1,-1,0.697581649195145,0.246341463414634
"282","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.319846244645379,-1,-1,-1,0.501533607876281,0.292682926829268
"285","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_40Org_W50","Agriculture",1354.61,-164.39,"No",-0.238568901384099,-1,-1,-1,0.498629631448039,0.217073170731708
"286","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_20Org_W50","Agriculture",1354.61,-164.39,"No",-0.280285463905274,-1,-1,-1,0.500170516899759,0.253658536585366
"299","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_0Org","Agriculture",1354.61,-164.39,"No",-0.0775579962104651,-0.504992529305363,-0.493896650871608,-0.929293048975946,0.615736925778775,0.0902439024390245
"305","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.195278210749958,-0.485250084206991,-0.437910174763119,-0.711454020015512,0.418740647258853,0.0926829268292686
"312","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_60Org_CCyes","Agriculture",1354.61,-164.39,"No",0.491029758540835,-0.362327235638085,-0.345784405730796,-0.575338601034275,0.612536625225202,0.160975609756098
"316","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.505539309579654,-0.504888901829602,-0.472201741164703,-0.638520560175676,0.40813224357201,0.336585365853659
"317","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.436841551300015,-0.462549146267842,-0.422521926403097,-0.625073635569146,0.41044357174959,0.134146341463415
"318","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_60Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.373133204832842,-0.470246551158126,-0.430780494214201,-0.635985656057109,0.41245857580184,0.168292682926829
"323","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,"No",0.341923343046054,0.364103073114663,0.424654868077524,0.50678033024167,0.462300293682482,0.373170731707317
"329","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",0.231235570180814,0.131811611968909,0.239862580668044,0.300231628307658,0.266489311663882,0.391242917560976
"335","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.492054790634612,0.167819737184313,0.291951694212027,0.348632977286208,0.271763881094771,0.186550813902439
"336","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.428753337053325,0.152424094717005,0.274246371982045,0.302436943383089,0.275556829899005,0.219622314390244
"337","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","ART PD + PASTURE","Agriculture",1560,41,"No",0.196505369177256,-1,5.70716097980401,-1,0.500065574761508,0
"340","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","PBE HD + PASTURE","Agriculture",1560,41,"No",0.389715421005968,-1,-1,-1,0.630445796673,0.0431856224990232
"342","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","EL HD + PASTURE","Agriculture",1560,41,"No",0.371543684652313,-1,-1,-0.869484704518807,0.508177346167992,0.0431856224990232
"343","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","Agriculture",1560,41,"No",0.481963083121676,10.3571843678908,1.29477301667298,0.704264859025837,0.418891657663435,0
"349","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: ART PD + PASTURE","Agriculture",1560,41,"No",0.0116317744511511,-1,5.20047864975624,-1,0.418891657663435,0
"350","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: ART HD + PASTURE","Agriculture",1560,41,"No",0.0351589565290398,-1,4.84288038286848,-1,0.322208277512408,0.0431856224990232
"356","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: INT HD + PASTURE","Agriculture",1560,41,"No",0.150460732130204,5.06075967262456,0.913270174763233,-0.125156785938348,0.407516292302009,0.719233370307219
"360","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDA HD + PASTURE","Agriculture",1560,41,"No",0.218091889018028,0.867019998954835,5.33397240791341,0.355592488453775,0.407516292302009,0.719233370307219
"361","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: ART PD + PASTURE","Agriculture",1560,41,"No",-0.261940085072229,-1,5.70716097980401,-1,0.500065574761508,0.678530729004408
"364","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: PBE HD + PASTURE","Agriculture",1560,41,"No",-0.0325025370654442,-1,-1,-1,0.630445796673,0.719233370307219
"366","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: EL HD + PASTURE","Agriculture",1560,41,"No",-0.0300949029265998,-1,-1,-0.869484704518807,0.508177346167992,0.719233370307219
