"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","All_crop_feed","All_plant_food","Yield"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,35,0.207639364778245,1.16021512048005,0.424676804851153,0.157894736842105
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,35,0.154150679827258,0.615498124247747,0.326936760584516,0.105263157894737
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,35,0.0500104205746612,1.44365228808232,0.497699244953922,0.894736842105263
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,35,-0.129875081421412,0.615498124247747,0.326936760584516,0.815789473684211
"9","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1 - SY","Agriculture",1560,35,0.693147180559945,1.44365228808232,0.497699244953922,0
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1 - IT","Agriculture",1560,35,0.325422400434628,1.44365228808232,0.497699244953922,0.210526315789474
"12","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,35,0.0500104205746612,1.44365228808232,0.497699244953922,0.894736842105263
"13","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,10.3699999999999,0.14698204977839,0.189720151114212,0.621264009870093,0.437185929648241
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,10.3699999999999,0.339214205819281,0.822238318732504,0.521019659277793,0.457286432160804
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,10.3699999999999,-0.0372361917637322,0.175405334731796,0.464745908326201,0.231155778894472
"18","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,10.3699999999999,0.0320464242341258,0.17441225253378,0.464946515126509,0.153266331658291
