"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","N2O","Rum_feed_grass","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_N2O","Organic"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",6.18,-1.0135945,0.144394504881894,0.240252772884584,0.615498124247747,0.326936760584516,0.105263157894737,0,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",6.18,-1.0135945,0.639124906140027,0.698745387622936,1.44365228808232,0.497699244953922,0.894736842105263,0,0
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3",6.18,-1.0135945,0.251853657196641,0.240252772884584,0.615498124247747,0.326936760584516,0.815789473684211,0,0
"27","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.254381439869345,0.074890074776933,0.176740811865789,0.35104463600267,0.329192546583851,0,0
"33","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.2710109800892,0.425112736102232,0.780315568743727,0.595923305941896,0.483578260869565,0.44557201998217,0
"34","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.496528847540732,-0.0235776337053034,0.0876858906475484,0.407815832254707,0.341614906832298,0,0
"39","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",8.022019,0.828424500000001,0.650922430632093,0.793184474574322,0.789686253966565,0.548581554140418,0.5,0,0
"101","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.51238519232097,0.0768259009591405,-1,0.492821678591555,0.102439024390244,0,1
"113","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.529148152910489,0.039735775454119,-1,0.492999473066754,0.131707317073171,0,1
"119","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org",5.02397601469034,-2.16961848530966,0.14174225582121,0.131490558591087,-0.75048230981367,0.615736925778775,0.0902439024390245,0,0
"166","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010",5.123,-2.0705945,0.439256674079077,0.809348775514868,0.742847937815802,0.531476173363463,0,0,0
"264","Stehfest et al. (2009)",2050,"IMAGE 2.4","Agriculture","NoAP",4.057,-3.1365945,-0.0744303539893495,-1,-1,0.90760972269946,0.682215743440233,0,0
"285","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Preference-based mitigation",7.351,0.1574055,-0.141041498244443,-0.218082649913788,0.349245295067337,0.342780333659578,0.175086918577251,0,0
"287","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)",5.76,-1.4335945,0.384970836760799,0.645636793696098,3.03736268165297,0.799382722110702,0.539325842696629,-0.0248432156822902,0
"288","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+bau (0.7+G+YGC+RICH+bau)",5.76,-1.4335945,0.236305084504299,0.645636793696098,3.03736268165297,0.799382722110702,0.771535580524345,0.0828418749143507,0
"289","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)",5.76,-1.4335945,0.310057733671297,0.645636793696098,3.03736268165297,0.799382722110702,0.411985018726592,0.0331043030229697,0
"292","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)",5.76,-1.4335945,0.215163724372644,-1,3.91091244262155,0.799382722110702,0.411985018726592,0.0433078594206654,0
"293","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)",5.76,-1.4335945,0.462447116057123,0.676777626517199,0.993964330275191,0.719453346702561,0.539325842696629,-0.0234039316811389,0
"294","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)",5.76,-1.4335945,0.317309858580927,0.676777626517199,0.993964330275191,0.719453346702561,0.771535580524345,0.0769258269141959,0
