"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","N2O","Rum_feed_grass","All_crop_feed","All_plant_food","Yield","GHG_eff_N2O"
"27","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.681554501509433,-0.254381439869345,0.074890074776933,0.176740811865789,0.35104463600267,0.329192546583851,0
"34","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.681554501509433,-0.496528847540732,-0.0235776337053034,0.0876858906475484,0.407815832254707,0.341614906832298,0
"37","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",8.022019,1.004019,0.263497070235448,-0.0950371310483376,-0.0980362480850276,0.747332141530787,0,0
"39","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",8.022019,1.004019,0.650922430632093,0.793184474574322,0.789686253966565,0.548581554140418,0.5,0
"41","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",8.022019,1.004019,0.0531028896380321,0.793184474574322,0.789686253966565,0.548581554140418,0,0.394819002090639
"42","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",8.022019,1.004019,-0.264656850107061,-0.394682002175989,-0.395660230181961,0.557994025442972,0.5,0.423667725816725
"124","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50",5.02397601469034,-1.99402398530966,-0.203774521282256,0.00149172883711102,-1,0.501533607876281,0.292682926829268,0
"126","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes",5.02397601469034,-1.99402398530966,-0.229198986657631,-0.0319357644104697,-1,0.501829932001612,0.331707317073171,0
"127","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org",5.02397601469034,-1.99402398530966,0.14174225582121,0.131490558591087,-0.75048230981367,0.615736925778775,0.0902439024390245,0
"131","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org",5.02397601469034,-1.99402398530966,0.339064531472127,0.471363425023196,0.477517435220025,0.474093993870648,0.326829268292683,0
"132","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50",5.02397601469034,-1.99402398530966,0.339064531472127,0.471363425023196,0.477517435220025,0.474093993870648,0.327190791219512,0
"133","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes",5.02397601469034,-1.99402398530966,0.339064531472127,0.471363425023196,0.477517435220025,0.474093993870648,0.327190791219512,0
"148","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Preference-based mitigation",7.351,0.333,-0.141041498244443,-0.218082649913788,0.349245295067337,0.342780333659578,0.175086918577251,0
