"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",106,2.31999999999999,0.164874643190234,1.86974845015592,0.0885525817860862,0.326936760584516,0.105263157894737,0.201201201201201,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",106,2.31999999999999,0.583584978048419,3.50752723764831,1.12855474045358,0.497699244953922,0.894736842105263,-0.0465465465465465,0
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",106,2.31999999999999,0.417965270872396,2.96391868361907,0.885435731781629,0.424676804851153,0.842105263157895,-0.0795795795795795,0
"107","Bodirsky et al. (2014)",2030,"MAgPIE 2","Agriculture","SSP2-All measures",76.85723,-26.82277,-0.388220455908367,1.18877071870758,0.408039246300875,0.532887166077572,0.498155577123704,0.352766742188735,0.0834646834150526
"115","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",76.85723,-26.82277,-0.093637748281972,3.10616458684991,1.45642955927673,0.679506551925979,0.775353837113553,0.293676168396649,0
"117","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-All measures",76.85723,-26.82277,-0.571425589780509,1.13237971968742,0.0269731111603211,0.623083486502254,0.617787982021799,0.445663101322514,0.0934652317693494
"122","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-REF",76.85723,-26.82277,0.433441782217482,3.79389488986456,1.52472415533243,0.776313108579529,0.885063355114471,0.0522219295010276,0
"124","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Waste",76.85723,-26.82277,0.0406877782308757,3.13618850072077,0.976800874414717,0.526528510638627,0.781151707405514,0.154073449602192,0.0625806764719302
"125","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",76.85723,-26.82277,-0.172679808845013,3.85441764754817,1.47728179726167,0.776313108579529,0.86169229963726,0.341217134727857,0
"134","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","GO",82.64,-21.04,0.490706876809353,3.36950791349433,1.16000069466718,0.811831789023521,0.579887457338432,0.172379797764485,0
"135","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","OS",82.64,-21.04,0.363215014283285,3.20946745570916,1.10076410771936,0.560533550554933,0.267501538800964,0.171893644304537,0
