"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","All_crop_feed","All_plant_food","Yield","NUEinc"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",106,2.3,0.164874643190234,0.615498124247747,0.326936760584516,0.105263157894737,0.201201201201201
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",106,2.3,0.583584978048419,1.44365228808232,0.497699244953922,0.894736842105263,-0.0465465465465465
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",106,2.3,0.417965270872396,1.16021512048005,0.424676804851153,0.842105263157895,-0.0795795795795795
"62","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:BAU_CC:None_Nboundary:No_constrain",100.65,-3.05,0.118478273306675,0.224757059983925,0.146358894273391,0.152173913043478,0.0222222222222221
"67","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",100.65,-3.05,0.118417594561688,0.252846568964272,0.237920545283772,0.152476397515528,0.110795555555556
"68","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",100.65,-3.05,0.12121039504318,0.257952448563997,0.148531674588541,0.152173913043478,0.111111111111111
"82","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",100.65,-3.05,-0.57935731426671,0.176740811865789,0.35104463600267,0.329192546583851,0.244444444444444
"84","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",100.65,-3.05,0.17354366853184,0.78032058064659,0.595914157136668,0.483559937888199,0.0299266666666667
"88","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",100.65,-3.05,-0.451916371383682,0.780315568743727,0.595923305941896,0.483578260869565,0.389073333333333
"89","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",100.65,-3.05,-1.06692879367147,0.0876858906475484,0.407815832254707,0.341614906832298,0.288888888888889
"90","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",103.01,-0.689999999999998,0.563781451503423,0.789686253966565,0.548581554140418,0,-0.0171428571428572
"91","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",103.01,-0.689999999999998,0.428338420212494,0.605618229015493,0.387307204693961,0,-0.0152380952380953
"92","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",103.01,-0.689999999999998,0.285154854932523,-0.0980362480850276,0.747332141530787,0,-0.0533333333333334
"94","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",103.01,-0.689999999999998,0.666287382954436,0.789686253966565,0.548581554140418,0.5,-0.0190476190476191
"95","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)",103.01,-0.689999999999998,0.527728844638434,0.789686253966565,0.548581554140418,0,0.0419047619047619
"96","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",103.01,-0.689999999999998,-0.0998637799510073,0.789686253966565,0.548581554140418,0,0.182857142857143
"97","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",103.01,-0.689999999999998,-0.346835428148315,-0.395660230181961,0.557994025442972,0.5,0.236190476190476
"332","van Vuuren et al. (2021)",2070,"IMAGE 3.2","Agriculture","SSP1_SPA1_19I_D",100.7084609375,-2.9915390625,0.480237160099727,0.155589936604975,0.317313412041706,0.557258380564851,0.29703172641621
