"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nsurplus","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold"
"31","Beusen et al. (2022)",2050,"IMAGE-GNM ","Agriculture","SSP1",129.45208,-4.93791999999999,-0.0971613332534929,0.440103560982799,0.0341585896871286,0.420297708441982,0.569924179273859,0.141442942080729,0.13243639612914
"38","Bodirsky et al. (2014)",2000,"MAgPIE 2","Agriculture","SSP2-Waste",151.9822,17.5922,0.0454023944940699,0.197485382702757,0.143073777759524,0.0844019092585662,0.119342922457217,0.122897939828231,0.0698280096937609
"41","Bodirsky et al. (2014)",2000,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,0.0454023944940699,0.197485382702757,0.143073777759524,0.0844019092585662,0.119342922457217,0.122897939828231,0.0698280096937609
"87","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Diet",151.9822,17.5922,0.285580936604774,1.85323478975263,0.452643909599333,0.825443751210319,0.618199055742029,0.00597713262026445,0
"93","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP1-All measures",151.9822,17.5922,-0.387612131458003,0.600374145303515,-0.357946280935509,0.540848999744142,0.552705059798245,0.358554191474788,0
"96","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-REF",151.9822,17.5922,0.425210253680869,3.79389488986456,1.52472415533243,0.776313108579529,0.885063355114471,0.0522219295010276,0
"97","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Diet",151.9822,17.5922,0.286029857077253,2.20590706431504,0.365394301208519,0.958499068433839,0.685193254410064,0.039409874071342,0
"99","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",151.9822,17.5922,0.137044376975395,3.85441764754817,1.47728179726167,0.776313108579529,0.86169229963726,0.341217134727857,0
"101","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,-0.278036813426264,1.14499046664319,-0.158139341024602,0.683095537370794,0.638460663057584,0.650495811159703,0.107972078479965
"123","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0894930498909353,-0.888684331177298,0.236679930593096,0.237920545283772,0.152476397515528,0.110795555555556,0.079
"124","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.089487043322772,-0.887371721910191,0.241149725496295,0.148531674588541,0.152173913043478,0.111111111111111,0.07
"138","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,-0.443970504981171,-0.880582661558368,0.176164869453124,0.35104463600267,0.329192546583851,0.244444444444444,0.11
"140","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.158784268640053,0.412111307622712,0.833515181801934,0.595914157136668,0.483559937888199,0.0299266666666667,0.062311
"143","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:DietShift_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0460073354631625,-0.877786341990985,0.165781434296127,0.666377314640676,0.37234751552795,0.0569511111111112,0.062655
"144","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,-0.299015911069004,-0.835676534217585,0.833506642228541,0.595923305941896,0.483578260869565,0.389073333333333,0.062311
"145","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",159.302698812501,24.9126988125013,0.580695571480276,0.808572323263699,0.802978662595083,0.548581554140418,0,-0.0171428571428572,0
"146","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",159.302698812501,24.9126988125013,0.456812498511128,0.620579399332619,0.617995499144527,0.387307204693961,0,-0.0152380952380953,0
"147","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",159.302698812501,24.9126988125013,0.167632702890216,-0.087697154078389,-0.0919053729388294,0.747332141530787,0,-0.0533333333333334,0
"149","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)",159.302698812501,24.9126988125013,0.454497214808498,0.808572323263699,0.802978662595083,0.548581554140418,0,0.0419047619047619,0
"150","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",159.302698812501,24.9126988125013,0.149281266369105,0.808572323263699,0.802978662595083,0.548581554140418,0,0.182857142857143,0
"151","Mogollon et al. (2018a)",2020,"IMAGE-GNM","Agriculture","SSP1",112.318631058822,-22.071368941178,-0.346578158490167,0.161612740238434,0.093161301775869,0.122241597942263,0.169811320754717,0.27383489163065,0
"156","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP1",112.318631058822,-22.071368941178,-0.475954398783614,0.258951909188488,0.118165921166541,0.202950368856176,0.311320754716981,0.396591679510205,0
"158","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.478544801692525,0.251965290538977,0.131549454520184,0.264042574790913,0.254716981132076,-0.112217792694276,0
"161","Mogollon et al. (2018a)",2040,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.513441198918637,0.439546978153925,0.175424964163241,0.336412931501056,0.29874213836478,-0.0932015515866988,0
