"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","Pasture","Population","Rum_meat_kcal","Dairy_kcal","FCR_FCF_rum_meat","FCR_FCF_dairy","C_price"
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,-36.2600000000002,0.20911754660339,0.426470588235294,1.01554719116627,0.276400710790522,-0.42191921790584,-0.121212121212121,0
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,-36.2600000000002,0.436933374079467,0.426470588235294,-0.122958700049141,-0.0496967382319048,-0.333631440013353,-0.116949651335268,0
"15","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,-67.4324653406939,0.59229300925875,0.424375917767988,0.141672807663965,0.0729927007299269,0,0,0
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,-67.4324653406939,-0.595549096882483,0.424375917767988,-0.426860722181282,-0.45985401459854,-0.25,-0.25,0
"48","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,-10.1894600000001,0.644219195115779,0.279268862392796,0.253658536585365,0.338691796008873,1.77635683940025e-15,0,0
"113","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Ramankutty et al., 2008",2895,-479,0.181359255717669,0.393232415902141,0,0,0,0,0
"116","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","FAO - Permanent meadows and pastures",3322,-52,0.661950632149308,0.4,0.330691395530922,0.196211957558725,0,0,0
"239","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,0.443362284838586,0.535202016862291,1.46020408163265,2.05375,0.304354323659479,0.26758309124148,0
"243","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,0.543388522049001,0.535202016862291,1.94020408163265,1.34358333333333,0.304354323659479,0.26758309124148,0
"244","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,0.520508961377868,0.535202016862291,1.94020408163265,1.34358333333333,0.304354323659479,0.26758309124148,0
"245","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,0.493756843487877,0.535202016862291,1.94020408163265,1.34358333333333,0.304354323659479,0.26758309124148,0
"246","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+bau (0.7+G+HY+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,-0.653850857214723,0.535202016862291,0.415510204081633,0.368416666666667,0.304354323659479,0.26758309124148,0
"247","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+bau (0.7+G+YGC+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,-0.619418623638922,0.535202016862291,0.415510204081633,0.368416666666667,0.304354323659479,0.26758309124148,0
"248","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+bau (0.7+G+FAO+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,-0.647840183156831,0.535202016862291,0.415510204081633,0.368416666666667,0.304354323659479,0.26758309124148,0
"255","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,0.514635126797675,0.535202016862291,0.236122448979592,1.49283333333333,0.304354323659479,0.26758309124148,0
"256","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-MEAT+bau (0.7+G+FAO+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-450.86694856944,0.53847940578658,0.535202016862291,0.236122448979592,1.49283333333333,0.304354323659479,0.26758309124148,0
