"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","Pasture","Rum_meat_grass_feed","Dairy_grass_feed"
"8","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.20911754660339,0.662050917233198,0.600051336654963
"14","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.436933374079467,0.105258794675899,0.321588994114788
"15","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","BAU","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.781589520534003,0.814845955652802,0.705092339517884
"16","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.59229300925875,0.626171253207116,0.528344962860542
"19","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.187726347022668,0.814845955652802,0.705092339517884
"20","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Volat)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.781589520534003,0.814845955652802,0.705092339517884
"21","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Loss)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.781589520534003,0.814845955652802,0.705092339517884
"22","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,-0.595549096882483,-0.387725661361061,-0.422971799736326
"55","Davis et al. (2016)","2040","Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,0.783151294019424,0.72243128398199,0.856510566345083
"64","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.818655009014138,-1,1.52487534266484
