"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","All_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold"
"39","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.488605504668748,0.536987410808323,0.402097546074738,0.339562258401602,0.0264074408709448,0.0711216232615079
"42","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.621020778297144,1.03513093830887,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771
"47","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IM",14,-3.85,0.251314428280906,0.631362243465859,0.775121802579022,0.53731413097164,0.076147449106955,0
"51","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.074866712680907,-0.0911855955666111,0.747332141530787,0,0.0569715142428784,0
"53","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.5392761036983,0.803935407125408,0.548581554140418,0.5,0.0254872563718141,0
"55","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0299999999999976,0.0701852997099241,0.803935407125408,0.548581554140418,0,0.146926536731634,0
"56","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0272125635248848,-0.39101321924329,0.557994025442972,0.5,0.0629685157421288,0
"65","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","BAU",16.1,-1.75,0.753406372078142,0.444009025056407,0.422837698255235,0,0,0
"66","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","Low pop & veg",16.1,-1.75,-0.132644474606295,-0.788213303937218,0.413867905238444,0,0,0
"70","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","BAU",16.1,-1.75,1.06919840346182,0.506695382755233,0.484604980420745,0,0,0
"71","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","Low pop & veg",16.1,-1.75,-0.0977977432761266,-0.779647174134369,0.471054575721111,0,0,0
"73","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","Medium pop",16.1,-1.75,0.711609243399681,0.533389470047824,0.51090769256545,0,0,0
"74","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","High pop",16.1,-1.75,0.887303195000903,0.798640843778001,0.772270085395745,0,0,0
"95","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A1",20.625,2.775,0.834225778819851,1.365588831799,0.403016645946405,0.336479336479336,0.1,0
"96","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A2",20.625,2.775,0.618945963965856,1.8418950511836,0.657785892391828,0.0106733239263359,0,0
"97","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B1",20.625,2.775,0.0415490029128725,-0.913363684203151,0.418337835673338,0.336479336479336,0.15,0
"98","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B2",20.625,2.775,0.229667677391153,0.639322410931003,0.568407889343496,0.0106733239263359,0.15,0
"148","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,0.0749491393398621,0.708274004673915,0.467298594844094,0.420351434660392,0.0970744462842434,0
"175","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3",17.8487687210036,-0.00123127899640352,-0.618198041220083,0.708274004673915,0.467298594844094,0.529577464788732,0.0970744462842434,0.5
