"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Pfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","PUEinc","PrecHousehold"
"59","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.488605504668748,0.808858251375369,0.417839677269214,0.402097546074738,0.339562258401602,0.0264074408709448,0.0711216232615079
"62","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",13.85,-4,0.621020778297144,1.93646527024681,0.682764211636072,0.544445575806944,0.569174909989264,0.0403546705401592,0.0824222898714771
"67","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IM",14,-3.85,0.251314428280906,0.620704271570124,0.622804437871421,0.775121802579022,0.53731413097164,0.076147449106955,0
"71","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",17.88,0.0299999999999976,0.074866712680907,-0.103866658576462,-0.0919053729388294,0.747332141530787,0,0.0569715142428784,0
"73","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",17.88,0.0299999999999976,0.5392761036983,0.774673866958284,0.802978662595083,0.548581554140418,0.5,0.0254872563718141,0
"75","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",17.88,0.0299999999999976,0.0701852997099241,0.774673866958284,0.802978662595083,0.548581554140418,0,0.146926536731634,0
"76","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",17.88,0.0299999999999976,-0.0272125635248848,-0.400626475446402,-0.391275849326701,0.557994025442972,0.5,0.0629685157421288,0
"85","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","BAU",16.1,-1.75,0.753406372078142,0.444009025056407,0.444009025056407,0.422837698255235,0,0,0
"86","Metson et al. (2012)",2030,"Metson et al. (2012)","Agriculture","Low pop & veg",16.1,-1.75,-0.132644474606295,0.241954421306042,-0.823552746768986,0.413867905238444,0,0,0
"90","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","BAU",16.1,-1.75,1.06919840346182,0.506695382755233,0.506695382755233,0.484604980420745,0,0,0
"91","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","Low pop & veg",16.1,-1.75,-0.0977977432761266,0.29218771253684,-0.816415990293569,0.471054575721111,0,0,0
"93","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","Medium pop",16.1,-1.75,0.711609243399681,0.533389470047824,0.533389470047824,0.51090769256545,0,0,0
"94","Metson et al. (2012)",2050,"Metson et al. (2012)","Agriculture","High pop",16.1,-1.75,0.887303195000903,0.798640843778001,0.798640843778001,0.772270085395745,0,0,0
"116","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A2",20.625,2.775,0.618945963965856,1.33120657797709,1.91216375246211,0.657785892391828,0.0106733239263359,0,0
"117","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","B1",20.625,2.775,0.0415490029128725,0.69252137926391,-0.876972877070049,0.418337835673338,0.336479336479336,0.15,0
"120","Pradhan et al. (2015)",2050,"Pradhan et al. (2015)","Agriculture","Scenario B",19.6506550218341,1.80065502183406,0.378436435720245,1.44470401876646,1.42585526229479,0.260802010557454,0.773938756224677,0.2,0
