"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Population","Rum_meat_kcal","Non_rum_kcal","Dairy_kcal","Vegetal_kcal","Yield","FCR_FCF_ruminants","FCR_FCF_monogastrics","WUEinc","rstand"
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.340394432548294,0.267090275115077,1.77966381015162,-0.171321611844873,0.232515012363123,0.0587756071825813,-1,-0.0846205653949584,-0.000405732286756444,0,1.49414756376617
"3","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.149945546740814,0.267090275115077,-0.0444957152274225,-0.0795827374442669,-0.0124514305898975,-0.00431113009739292,-1,0.04983655333119,-0.0253843371526761,0,-0.98624107626554
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.096983325947157,0.267090275115077,3.12228081740277,0.618995541347691,-0.764217590957259,-0.191267426216178,-1,0.057223344162282,-0.0442885380491804,0,-0.803930134423238
"23","Davis et al. (2016)",2020,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.295159648648426,0.129050913504077,-0.268292682926829,-0.109694970590883,0.073170731707316,-0.0404223911152291,0,-0.165228800186216,-0.0487169276441538,0,1.02834696347241
"25","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.454484843521844,0.182698116798426,0.156097560975609,0.16116540829656,0.208425720620845,-0.0150996840067937,0,-0.0218531652893321,-0.0285329310388825,0,1.6817999806368
"26","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.391525693934767,0.182698116798426,-0.195121951219513,-0.152392908120201,0.328159645232816,0.0108405678484864,0,-0.20624420080658,-0.0252228537800591,0,1.11747929329912
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.433926753860757,0.182698116798426,-0.390243902439024,-0.161178987769794,0.106430155210644,-0.0587962052585169,0,-0.236366832359762,-0.0707411876749487,0,2.03024036445596
"28","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0497474533192104,0.182698116798426,-0.390243902439024,-0.316963608611068,0.314855875831489,-0.0431105748770189,0,-0.285028225671404,0.0340247757574486,0,-1.55586444709041
"30","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.51101959008983,0.232667189183218,-0.256097560975611,-0.201944034461853,0.43070953436807,0.0142282453011402,0,-0.253613000793862,-0.0329736134664985,0,1.80963382408216
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,0.232667189183218,-0.512195121951219,-0.417943078856116,0.413248337028824,-0.0565826295260863,0,-0.352567096839656,0.0537409661827282,0,-1.92922999897567
