"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.2026189461003,0.0755958517691366,-1,0.0495843037383767,0.197639242750954,-1,0
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.340394432548294,0.624355371737117,-1,0.0495843037383767,0.34156427539011,-1,0
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.096983325947157,1.03580635100284,-1,0.960559400785837,0.0247371794102678,-1,0
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.433926753860757,-0.278842611708277,0.308572860936619,-0.0781083222714843,0.113159955564285,0,0
"29","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.600961232357082,0.485213637698804,0.569874094871646,0.439006110918498,0.208237777565317,0,0
"31","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.571408978469271,-0.398698932105747,0.404857949534757,-0.120568109051584,0.137542238277981,0,0
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,-0.398698932105747,0.742064855223177,-0.243959329969406,0.162919638288702,0,0
"33","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.742298098777049,0.60376632992658,0.712546730974839,0.543445332740409,0.247879459572268,0,0
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.630513486244894,-0.126352972024434,0.961451038458131,-0.0823741860393961,0.301804363854039,0,0
"35","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.708891203077785,-0.53197480644166,0.500517135711281,-0.169865539729153,0.157042611144919,0,0
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0176254382237633,-0.53197480644166,0.933795004293324,-0.319760219047412,0.189650086262759,0,0
"37","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.747437621192321,-0.177490678997365,1.1633021446335,-0.12322472645118,0.350242513561922,0,0
