"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"1","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,0.114562877039942,0.0716850524973904,0.120173945126049,0,-0.141927637593062
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.0437989103117733,0.0531118344923489,0.0534288114975094,0,-0.166243913761107
"23","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0497474533192104,-0.209558711009199,0.131711321077278,0,0
"28","Davis et al. (2016)","2030","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.600961232357082,0.440756027696476,0.208237777565317,0,0
"30","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.571408978469271,-0.295314160934346,0.137542238277981,0,0
"31","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,-0.304234756379096,0.162919638288702,0,0
"35","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.115273195566474,-0.304234756379096,0.162919638288702,0,0.147573619429075
"37","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.708891203077785,-0.399492533669471,0.157042611144919,0,0
"38","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0176254382237633,-0.406941713042468,0.189650086262759,0,0
"39","Davis et al. (2016)","2035","Davis et al. (2016)","Food","B + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.500505428002631,0.546285613446603,0.247879459572268,0,0.138600790531176
