"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","WUEinc"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.184501633781872,0.137221599443406,0.0495843037383767,0.197639242750954,0,0
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.616413364902244,0.0495843037383767,0.34156427539011,0,0
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.81559590024241,0.960559400785837,0.0247371794102678,0,0
"31","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4519726554185,-0.346793052129878,-0.120568109051584,0.137542238277981,0,0
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0374725782524234,-0.32501112035429,-0.243959329969406,0.162919638288702,0,0
"33","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.555204988231669,0.610793016611175,0.543445332740409,0.247879459572268,0,0
"35","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.535844740947128,-0.465280831130253,-0.169865539729153,0.157042611144919,0,0
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0174719115457538,-0.437293180776358,-0.319760219047412,0.189650086262759,0,0
"37","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.632521041182496,0.731092155784097,0.647001312825451,0.283776381814625,0,0
"38","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.558150498461426,-0.0908819609762969,-0.12322472645118,0.350242513561922,0,0
"39","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.613223405810353,-0.595242440195653,-0.225030661200621,0.171813754982049,0,0
"40","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.00810493024389575,-0.56074574742455,-0.404708108063227,0.212004697664203,0,0
"41","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.62153946205201,-0.132408891405442,-0.170810882878743,0.395153010122046,0,0
"42","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.683097355051444,-0.735597761736929,-0.285260103811688,0.181761505916511,0,0
"43","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.042363880064911,-0.694341513477787,-0.498148230173626,0.229827780561046,0,0
"44","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.679161538130573,-0.180253516703497,-0.224572601368033,0.436234020437047,0,0
"45","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0842272767749866,-1,-0.599281638662522,0.243041632389015,0,0
"48","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,0.294369840276234,-0.207015525611385,0.694709210912892,0,0
"105","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.394111848400908,0.041887811521417,0.270428926838955,0.279438257170071,0.341287850141341,0.149239957976049
"109","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.405168669152078,0.0490911921670112,0.279212389935458,0.28828400877309,0.352722759805288,0.162830831447955
"115","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.449603110297338,0.0442707267015119,0.281866555368196,0.302866546865061,0.392185728208343,0.171963694570837
"119","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.452860003715165,0.053660980400116,0.293393309738382,0.314582136604066,0.403310737017532,0.187972631199411
"125","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.494691032655261,0.0461854979496459,0.284119383911785,0.317917850412858,0.444209110255925,0.194665881880398
"129","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.490428771073385,0.0582926715393841,0.298980091043969,0.333169696498695,0.454601061999214,0.212967150370004
"145","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.0356574399977141,-1,-1,0.501829932001612,0.331707317073171,0
"171","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.464069311510645,0.398385800039046,0.50678033024167,0.462300293682482,0.373170731707317,0
"200","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0523310768248694,0.7275497569339,0.689642770812051,0.539769602274787,0.420351434660392,0.233343326088586
"209","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0214476490437485,0.697257622215523,0.711159315703535,0.467298594844094,0.420351434660392,0.233343326088586
"227","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + HW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,0.0519878123560876,0.7275497569339,0.689642770812051,0.539769602274787,0.529577464788732,0.23234561193135
"236","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0218180888270252,0.697257622215523,0.711159315703535,0.467298594844094,0.529577464788732,0.23234561193135
"275","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.477473744439661,1.0468160718251,0.716691999121685,0.39413928648416,0.39821596,-0.0171945704441513
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,1.64641288409649,0.685414580581262,0.39413928648416,0.40906935,-0.014802646408097
"283","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Baseline + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.145986098707962,0.498065404215122,-0.0334076972322009,0.567121427887401,0.35577975,0.0178031460784944
"284","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.115679365637559,0.17639229052206,0.0197282510729091,0.567121427887401,0.34535062,0.0204712984163788
