"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Rum_feed_water","Mon_feed_water","Vegetal_kcal","Yield","WUEinc"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.184501633781872,0.137221599443406,0.0495843037383767,-0.0548114319303853,0,0
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.292963923297559,0.616413364902244,0.0495843037383767,0.0587756071825813,0,0
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.102014260560832,0.81559590024241,0.960559400785837,-0.191267426216178,0,0
"5","Davis et al. (2016)",2010,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0225097055757112,0.0220049356692231,0.0200908995182427,-0.000943730250422603,0,0
"6","Davis et al. (2016)",2010,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0225097055757112,0.00171607779247518,0.000955567865250417,0.000677535490532399,0,0
"7","Davis et al. (2016)",2010,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0225097055757112,-0.0107330953297388,-0.00244924575775829,-0.00367476282865797,0,0
"8","Davis et al. (2016)",2010,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0225097055757112,-0.00988161049271097,-0.00648591826377931,-0.00269441092981404,0,0
"31","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.4519726554185,-0.346793052129878,-0.120568109051584,-0.0771700194018045,0,0
"33","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.555204988231669,0.610793016611175,0.543445332740409,-0.0245369865110416,0,0
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.488894987445716,-0.0560861051784867,-0.0823741860393961,0.017615922753792,0,0
"35","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.535844740947128,-0.465280831130253,-0.169865539729153,-0.0955438335450923,0,0
"37","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.632521041182496,0.731092155784097,0.647001312825451,-0.0292556377631615,0,0
"38","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.558150498461426,-0.0908819609762972,-0.12322472645118,0.0210036002064431,0,0
"39","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.613223405810353,-0.595242440195653,-0.225030661200621,-0.113917647688379,0,0
"41","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.62153946205201,-0.132408891405443,-0.170810882878743,0.0243912776590953,0,0
"42","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.683097355051444,-0.735597761736929,-0.285260103811688,-0.132291461831667,0,0
"44","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.679161538130573,-0.180253516703497,-0.224572601368033,0.0277789551117469,0,0
"45","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0842272767749866,-0.836905290111092,-0.599281638662522,-0.110470848122358,0,0
"47","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.674921180804688,2.26741450165752,1.17388166219983,0.113861487887982,0,0.0917584035933876
"48","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.434422591281834,0.294369840276234,-0.207015525611385,0.284367650334286,0,0
"49","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S4","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.679210490100551,0.484457059204047,-0.0905602369457459,0.261519431116212,0,0
"105","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.394111848400908,0.041887811521417,0.270428926838955,0.0568129979456435,0.341287850141341,0.149239957976049
"109","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.405168669152078,0.0490911921670114,0.279212389935458,0.0568129979456435,0.352722759805288,0.162830831447955
"115","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.449603110297338,0.0442707267015119,0.281866555368196,0.0642539069748123,0.392185728208343,0.171963694570837
"119","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.452860003715165,0.053660980400116,0.293393309738382,0.0642539069748123,0.403310737017532,0.187972631199411
"125","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.494691032655261,0.0461854979496457,0.284119383911785,0.0709806998343707,0.444209110255925,0.194665881880398
"129","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.490428771073385,0.0582926715393841,0.298980091043969,0.0709806998343707,0.454601061999214,0.212967150370004
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.525616356595638,1.6464128840965,0.685414580581262,0.0425146992311172,0.40906935,-0.014802646408097
