"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_feed_water","Plant_food_water","Yield","WPinc"
"1","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,0.108462289515688,0.0712393665557236,0.120173945126049,0,-0.141927637593062
"2","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Replaced foods","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.0447870431879527,0.068356549809923,0.0534288114975094,0,-0.166243913761107
"3","Damerau et al. (2016)","2050","Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1741.59487809586,-65.4051219041407,-0.286515894342704,0.822051115187855,-0.144369069723812,0,-0.0134069455090788
"23","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0485496145913309,-0.188982176935416,0.131711321077278,0,0
"27","Davis et al. (2016)","2025","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0713805918385198,-0.188982176935416,0.131711321077278,0,0.113466059841618
"31","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0374725782524234,-0.276620941961248,0.162919638288702,0,0
"35","Davis et al. (2016)","2030","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.122476377185827,-0.276620941961248,0.162919638288702,0,0.147573619429075
"38","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.535844740947128,-0.288909666680348,0.157042611144919,0,0
"39","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0174719115457538,-0.367122726081665,0.189650086262759,0,0
"42","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.341189463890091,-0.288909666680348,0.157042611144919,0,0.177034716998565
"43","Davis et al. (2016)","2035","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.182862660328387,-0.367122726081665,0.189650086262759,0,0.182024391507576
"44","Davis et al. (2016)","2040","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.632521041182496,0.680887578282882,0.283776381814625,0,0
"46","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.613223405810353,-0.374215687502033,0.171813754982049,0,0
"47","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.00810493024389575,-0.467586926763487,0.212004697664203,0,0
"50","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S2 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.37700416093836,-0.374215687502033,0.171813754982049,0,0.210150709123252
"51","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S3 + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.253340635267166,-0.467586926763487,0.212004697664203,0,0.217309012834243
"52","Davis et al. (2016)","2045","Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.703650422789606,0.789861651904941,0.315662977544534,0,0
"54","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.683097355051444,-0.466733625600942,0.181761505916511,0,0
"55","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.042363880064911,-0.57720865393795,0.229827780561046,0,0
"56","Davis et al. (2016)","2045","Davis et al. (2016)","Food","B + prod","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.509466802580116,0.789861651904941,0.315662977544534,0,0.176476603030717
