"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","All_crop_feed","All_plant_food","Yield","WPinc"
"1","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT1","FAO AQUASTAT 2013",2889,189,0.790689048099974,1.44365228808232,0.497699244953922,0.210526315789474,-0.363025316850358
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","FAO AQUASTAT 2013",2889,189,0.627893046330743,1.16021512048005,0.424676804851153,0.157894736842105,-0.310099179457695
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","FAO AQUASTAT 2013",2889,189,0.601309676388972,0.615498124247747,0.326936760584516,0.105263157894737,-0.287050585937948
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2","FAO AQUASTAT 2013",2889,189,0.28273736491432,1.16021512048005,0.424676804851153,0.842105263157895,0.0525010630867031
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","FAO AQUASTAT 2013",2889,189,0.271455597610237,0.615498124247747,0.326936760584516,0.815789473684211,0.0403988494836893
"72","Graham et al. (2018)",2045,"GCAM 5.0","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.398806178922353,0.451843175401925,0.229524110646794,0.318100567681322,-0.16625117
"76","Graham et al. (2018)",2045,"GCAM 5.0","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.389484832209414,0.434042600696756,0.261347385081977,0.329193915663461,-0.156973432
"82","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 1 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.444942034128399,0.497654823118998,0.243728129203575,0.366941050800334,-0.200166717
"86","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 5 NonCO2 constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.427553181581641,0.481965895996616,0.283893626161331,0.377642079444936,-0.180124676
"87","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.248812854270462,0.497654823118998,0.243728129203575,0.368206753061377,-0.212532983
"91","Graham et al. (2018)",2050,"GCAM 5.0","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",2571.10344368774,-128.896556312264,0.229347593940384,0.481965895996616,0.283893626161331,0.378051822208001,-0.188853808
"177","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","FAO AQUASTAT 2013",2742.64,42.6399999999999,0.344808886068581,-0.75048230981367,0.615736925778775,0.0902439024390245,0
