"","Intervention","Risk_class","Count_Very High","Count_High","Count_Trend","Count_Low","pct_Very High","pct_High","pct_Trend","pct_Low"
"1","Population","Risk<0.33",234,59,3,NA,79.0540540540541,19.9324324324324,1.01351351351351,NA
"2","Population","Risk<0.50",6057,3332,850,113,58.5104327666152,32.1870170015456,8.21097372488408,1.09157650695518
"3","Animal calories","Risk<0.33",296,NA,NA,NA,100,NA,NA,NA
"4","Animal calories","Risk<0.50",9466,830,56,NA,91.4412673879444,8.0177743431221,0.540958268933539,NA
"5","Plant calories","Risk<0.33",234,56,6,NA,79.0540540540541,18.9189189189189,2.02702702702703,NA
"6","Plant calories","Risk<0.50",5475,2934,1428,515,52.8883307573416,28.3423493044822,13.7944358578053,4.97488408037094
"7","Waste","Risk<0.33",200,72,21,3,67.5675675675676,24.3243243243243,7.09459459459459,1.01351351351351
"8","Waste","Risk<0.50",4774,2977,1671,930,46.1166924265842,28.7577279752705,16.1418083462133,8.98377125193199
"9","Crop yields","Risk<0.33",167,105,24,NA,56.4189189189189,35.472972972973,8.10810810810811,NA
"10","Crop yields","Risk<0.50",4397,3373,1830,752,42.4748840803709,32.5830757341577,17.677743431221,7.26429675425039
"11","Feed conversion ratio","Risk<0.33",247,49,NA,NA,83.4459459459459,16.5540540540541,NA,NA
"12","Feed conversion ratio","Risk<0.50",6719,2614,835,184,64.9053323029366,25.2511591962906,8.0660741885626,1.7774343122102
"13","Feed composition","Risk<0.33",42,50,83,121,14.1891891891892,16.8918918918919,28.0405405405405,40.8783783783784
"14","Feed composition","Risk<0.50",1951,2387,2777,3237,18.846599690881,23.0583462132921,26.8257341576507,31.2693199381762
"15","Water-use efficiency","Risk<0.33",84,84,84,44,28.3783783783784,28.3783783783784,28.3783783783784,14.8648648648649
"16","Water-use efficiency","Risk<0.50",2672,2672,2672,2336,25.8114374034003,25.8114374034003,25.8114374034003,22.5656877897991
"17","Climate action","Risk<0.33",260,36,NA,NA,87.8378378378378,12.1621621621622,NA,NA
"18","Climate action","Risk<0.50",6678,2850,764,60,64.5092735703246,27.5309119010819,7.38021638330757,0.579598145285935
"19","N & P management","Risk<0.33",296,NA,NA,NA,100,NA,NA,NA
"20","N & P management","Risk<0.50",9480,872,NA,NA,91.5765069551777,8.42349304482226,NA,NA
