"","Intervention","Risk_class","Count_Very High","Count_High","Count_Trend","Count_Low","pct_Very High","pct_High","pct_Trend","pct_Low"
"1","Population","Risk<0.33",113,28,NA,NA,80.1418439716312,19.8581560283688,NA,NA
"2","Population","Risk<0.50",4148,2305,568,84,58.3814215341309,32.441942294159,7.99437016185785,1.18226600985222
"3","Animal calories","Risk<0.33",141,NA,NA,NA,100,NA,NA,NA
"4","Animal calories","Risk<0.50",6542,551,12,NA,92.0760028149191,7.75510204081633,0.168895144264602,NA
"5","Plant calories","Risk<0.33",131,10,NA,NA,92.9078014184397,7.09219858156028,NA,NA
"6","Plant calories","Risk<0.50",3815,2070,918,302,53.6945812807882,29.1344123856439,12.9204785362421,4.25052779732583
"7","Waste","Risk<0.33",114,24,3,NA,80.8510638297872,17.0212765957447,2.12765957446809,NA
"8","Waste","Risk<0.50",3224,2042,1176,663,45.3764954257565,28.7403237156932,16.551724137931,9.33145672061928
"9","Crop yields","Risk<0.33",67,62,12,NA,47.5177304964539,43.9716312056738,8.51063829787234,NA
"10","Crop yields","Risk<0.50",3252,2207,1194,452,45.7705840957072,31.0626319493315,16.8050668543279,6.36171710063336
"11","Feed conversion ratio","Risk<0.33",125,16,NA,NA,88.6524822695035,11.3475177304965,NA,NA
"12","Feed conversion ratio","Risk<0.50",4465,1865,635,140,62.8430682617875,26.2491203377903,8.93736805066854,1.97044334975369
"13","Feed composition","Risk<0.33",4,20,31,86,2.83687943262411,14.1843971631206,21.9858156028369,60.9929078014184
"14","Feed composition","Risk<0.50",859,1278,2002,2966,12.0900774102745,17.9873328641802,28.1773399014778,41.7452498240676
"15","Water-use efficiency","Risk<0.33",36,36,36,33,25.531914893617,25.531914893617,25.531914893617,23.4042553191489
"16","Water-use efficiency","Risk<0.50",1808,1808,1808,1681,25.4468684025334,25.4468684025334,25.4468684025334,23.6593947923997
"17","Climate action","Risk<0.33",125,16,NA,NA,88.6524822695035,11.3475177304965,NA,NA
"18","Climate action","Risk<0.50",4737,1976,380,12,66.6713581984518,27.8114004222379,5.34834623504574,0.168895144264602
"19","N & P management","Risk<0.33",141,NA,NA,NA,100,NA,NA,NA
"20","N & P management","Risk<0.50",6997,108,NA,NA,98.4799437016186,1.52005629838142,NA,NA
